Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",251,PHILADELPHIA,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",88,PHOENIX,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",345,SAN FRANCISCO,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",19,ST. LOUIS,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",10,WFO,2497
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",30,ATLANTA,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",313,BIRMINGHAM,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",24,CHARLOTTE,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",81,CHICAGO,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",356,DALLAS,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",133,HOUSTON,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",534,INDIANAPOLIS,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",148,LOS ANGELES,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",797,MEMPHIS,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",262,MIAMI,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",87,NEW YORK,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",269,OLC/HDQ,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",329,PHILADELPHIA,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",181,PHOENIX,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",377,SAN FRANCISCO,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",37,ST. LOUIS,3987
"Title I of the Americans with Disabilities Act Amendments Act of 1990, 42 U.S.C. Section 12117.","ADA charges conciliation materials, required reports and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",29,WFO,3987
