Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,NETL,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,NR,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,ORO,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,EMCBC,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,RL,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,PNSO,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,SROO,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,OSTI,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,SEPA,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,SWPA,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,SPR,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,WAPA,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,7,HQ,8
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,NNSA/AL,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,BPA,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,CBFO,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,CH,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,5,GFO,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,ID,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,NETL,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,NR,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,ORO,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,EMCBC,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,RL,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,PNSO,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,SROO,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,OSTI,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,SEPA,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,SWPA,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,SPR,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,WAPA,5
10 U.S.C. 2371,"contractor proposals, proposal abstract and supporting documents",,0,HQ,5
