,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
107,Total,3,0,0,0,0,0,0,0,0,0,0,0,0,3,CPPBSD,2013
108,Total,13,0,0,0,0,0,0,0,0,0,0,0,0,13,CPPBSD,2014
109,Total,4,0,0,0,0,0,0,0,0,0,0,0,0,4,CPPBSD,2015
110,Total,16,3,0,0,0,0,0,0,0,0,0,0,0,19,CSB,2008
111,Total,32,0,0,0,0,0,0,0,0,0,0,0,0,32,CSB,2009
112,Total,14,0,0,0,0,0,0,0,0,0,0,0,0,14,CSB,2010
113,Total,21,0,0,0,0,0,0,0,0,0,0,0,0,21,CSB,2011
114,Total,18,1,1,0,0,0,0,0,0,0,0,0,0,20,CSB,2012
115,Total,36,0,0,0,0,0,0,0,0,0,0,0,0,36,CSB,2013
116,Total,28,1,0,0,0,0,0,0,0,0,0,0,0,29,CSB,2014
117,Total,10,7,1,0,0,0,0,1,0,0,0,0,0,19,CSB,2015
118,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSOSA,2008
119,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSOSA,2009
120,Total,309,262,34,32,9,10,12,8,14,7,24,1,1,723,CSOSA,2010
121,Total,243,413,74,17,7,4,1,1,4,2,0,0,0,766,CSOSA,2011
122,Total,470,196,34,16,18,5,4,9,14,11,17,6,3,803,CSOSA,2012
123,Total,598,96,8,4,1,2,2,2,2,3,1,0,0,719,CSOSA,2013
124,Total,547,107,15,3,10,3,5,3,34,8,10,1,1,747,CSOSA,2014
125,Total,379,123,16,2,6,5,2,0,1,2,0,0,0,536,CSOSA,2015
126,CBP,3319,925,333,287,204,80,18,22,22,16,32,0,0,5258,DHS,2008
127,CRCL,8,8,0,1,0,1,0,1,1,0,0,0,0,20,DHS,2008
128,FEMA,16,16,12,9,2,4,2,3,1,0,5,4,7,81,DHS,2008
129,FLETC,96,26,10,7,9,0,0,0,0,0,0,0,0,148,DHS,2008
130,I&A,22,10,0,0,0,0,0,0,0,0,0,0,0,32,DHS,2008
131,ICE,2205,114,29,19,14,5,8,4,3,1,14,21,26,2463,DHS,2008
132,MGMT,114,10,0,0,0,0,0,0,0,0,0,0,0,124,DHS,2008
133,NPPD,26,4,5,4,3,3,3,1,1,0,0,0,0,50,DHS,2008
134,OGC,5,1,0,1,0,0,0,0,0,0,0,0,0,7,DHS,2008
135,OIG,49,35,14,12,12,8,2,1,0,4,10,12,1,160,DHS,2008
136,OPS,16,3,0,0,0,0,0,0,0,0,0,0,0,19,DHS,2008
137,PLCY,4,6,0,0,0,0,0,0,0,0,0,0,0,10,DHS,2008
138,PRIV,629,12,0,0,0,0,0,0,0,0,0,0,0,641,DHS,2008
139,S&T,47,13,5,3,1,0,0,0,0,0,0,0,0,69,DHS,2008
140,TSA,58,23,9,5,10,5,1,3,1,0,0,0,0,115,DHS,2008
141,US-VISIT,1835,230,0,0,0,1,0,0,0,0,0,0,0,2066,DHS,2008
142,USCG,3438,491,67,28,17,12,5,9,2,2,12,8,37,4128,DHS,2008
143,USCIS,905,582,910,869,1231,1716,1107,804,576,523,3277,3356,8434,24290,DHS,2008
144,USSS,145,575,125,0,0,0,0,0,0,0,0,0,0,845,DHS,2008
145,Total,12937,3084,1519,1245,1503,1835,1146,848,607,546,3350,3401,8505,40526,DHS,2008
146,CBP,8680,1550,1697,1381,2573,421,134,62,64,27,173,24,0,16786,DHS,2009
147,CRCL,2,1,1,1,0,0,0,0,0,0,0,0,0,5,DHS,2009
148,FEMA,25,19,8,19,14,7,9,8,9,3,33,11,30,195,DHS,2009
149,FLETC,80,15,7,4,4,2,2,1,5,2,2,0,0,124,DHS,2009
150,I&A,6,2,0,0,0,0,0,0,0,0,0,0,0,8,DHS,2009
151,ICE,4139,968,111,50,28,5,3,1,0,0,0,0,0,5305,DHS,2009
152,MGMT,89,6,0,1,0,0,0,0,0,0,0,0,0,96,DHS,2009
153,NPPD,22,10,6,2,3,3,1,0,1,0,3,1,0,52,DHS,2009
154,OGC,2,1,0,0,0,1,0,0,0,0,0,0,0,4,DHS,2009
155,OIG,65,30,10,3,0,0,2,0,0,0,0,0,0,110,DHS,2009
156,OPS,14,0,0,0,0,0,0,0,0,0,0,0,0,14,DHS,2009
157,PLCY,5,1,0,0,0,0,0,0,0,0,0,0,0,6,DHS,2009
158,PRIV,632,9,5,3,0,1,0,0,0,0,0,0,0,650,DHS,2009
159,S&T,36,14,3,4,2,0,0,0,0,0,0,0,0,59,DHS,2009
160,TSA,127,51,33,15,9,9,2,3,2,2,4,1,0,258,DHS,2009
161,US-VISIT,16,2,1,1,0,0,0,0,0,0,2,0,0,22,DHS,2009
162,USCG,4090,324,109,69,37,50,23,13,14,7,33,12,1,4782,DHS,2009
163,USCIS,1880,854,707,187,107,390,1000,1617,1344,1281,5289,1232,3095,18983,DHS,2009
164,USSS,0,78,52,0,0,0,0,0,0,0,0,0,0,130,DHS,2009
165,Total,19910,3935,2750,1740,2777,889,1176,1705,1439,1322,5539,1281,3126,47589,DHS,2009
166,CBP,6725,2626,2956,1251,595,169,9,6,7,3,5,9,1,14362,DHS,2010
167,CRCL,4,2,2,0,0,1,0,0,0,0,0,0,0,9,DHS,2010
168,FEMA,30,37,26,27,32,27,31,20,12,12,68,25,52,399,DHS,2010
169,FLETC,87,29,13,8,3,6,3,3,5,12,0,0,0,169,DHS,2010
170,I&A,14,6,3,0,0,0,0,0,0,0,0,0,0,23,DHS,2010
171,ICE,6114,653,75,39,25,9,5,2,3,3,2,0,0,6930,DHS,2010
172,MGMT,111,12,0,0,0,0,0,0,0,0,0,0,0,123,DHS,2010
173,NPPD,37,33,13,3,5,0,0,0,0,0,0,0,0,91,DHS,2010
174,OGC,9,8,0,1,0,0,3,2,0,1,2,2,0,28,DHS,2010
175,OIG,99,13,2,0,0,0,0,0,0,0,0,0,0,114,DHS,2010
176,OPS,18,0,0,0,0,0,0,0,0,0,0,0,0,18,DHS,2010
177,PLCY,5,0,0,0,0,0,0,0,0,0,0,0,0,5,DHS,2010
178,PRIV,761,4,1,0,0,0,0,0,0,0,0,0,0,766,DHS,2010
179,S&T,30,9,1,0,0,0,0,0,0,0,0,0,0,40,DHS,2010
180,TSA,69,21,10,3,2,2,1,3,0,3,1,0,0,115,DHS,2010
181,US-VISIT,683,946,21,3,1,1,1,0,1,0,0,0,0,1657,DHS,2010
182,USCG,2300,509,144,48,35,12,13,6,8,3,12,1,0,3091,DHS,2010
183,USCIS,4280,7651,4703,1559,1212,144,81,64,38,34,99,69,719,20653,DHS,2010
