,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
663,Office of the DAG,11,9,8,6,1,5,2,4,7,3,10,6,1,73,DOJ,2008
664,Office of the Assoc. AG,5,4,5,1,2,2,1,1,1,0,1,1,0,24,DOJ,2008
665,Antitrust,69,8,4,7,1,0,0,0,0,0,0,0,0,89,DOJ,2008
666,ATF,1009,104,46,25,6,7,4,2,0,0,1,0,0,1204,DOJ,2008
667,BOP,11203,1400,695,322,196,147,94,70,44,24,38,0,0,14233,DOJ,2008
668,Civil,198,34,10,8,9,1,2,0,0,0,0,0,0,262,DOJ,2008
669,Civil Rights,250,37,20,0,0,0,0,0,0,0,0,0,0,307,DOJ,2008
670,COPS,50,1,0,0,0,0,0,0,0,0,0,0,0,51,DOJ,2008
671,Criminal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2008
672,CRS,10,1,0,0,0,0,0,0,0,0,0,0,0,11,DOJ,2008
673,DEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2008
674,ENRD,41,22,16,4,6,4,2,0,1,2,2,0,2,102,DOJ,2008
675,EOIR,6325,3112,946,373,190,110,69,42,20,23,61,44,15,11330,DOJ,2008
676,EOUSA,1136,496,347,314,222,146,84,85,62,57,158,90,464,3661,DOJ,2008
677,EOUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2008
678,FBI,8908,1210,685,519,500,378,265,172,139,148,403,191,234,13752,DOJ,2008
679,FCSC,15,0,0,0,0,0,0,0,0,0,0,0,0,15,DOJ,2008
680,JMD,65,14,3,4,1,0,0,0,0,0,0,0,0,87,DOJ,2008
681,NDIC,36,15,2,2,1,1,0,0,0,0,1,0,0,58,DOJ,2008
682,NSD,123,8,11,1,2,0,0,1,0,0,0,0,0,146,DOJ,2008
683,ODR,13,0,0,0,0,0,0,0,0,0,0,0,0,13,DOJ,2008
684,OFDT,24,5,0,0,0,0,1,0,0,0,0,0,0,30,DOJ,2008
685,OIG,121,26,20,17,6,2,4,5,4,0,7,2,3,217,DOJ,2008
686,OIP,443,22,1,8,3,1,1,0,1,2,5,3,2,492,DOJ,2008
687,OIPL,2,1,2,0,0,0,0,0,1,0,0,0,0,6,DOJ,2008
688,OJP,188,35,10,1,0,1,1,0,0,0,0,0,0,236,DOJ,2008
689,OLA,14,12,3,6,1,5,0,1,2,1,8,5,4,62,DOJ,2008
690,OLC,16,16,6,5,3,4,0,1,1,1,0,0,0,53,DOJ,2008
691,OLP,25,21,28,5,1,2,0,1,1,1,2,1,2,90,DOJ,2008
692,OPR,41,12,7,5,0,0,0,2,0,1,2,1,1,72,DOJ,2008
693,OSG,61,37,8,0,0,0,0,0,0,0,0,0,0,106,DOJ,2008
694,OVW,33,3,0,0,0,0,0,0,0,0,0,0,0,36,DOJ,2008
695,Pardon Attorney,43,12,2,0,0,0,0,0,0,0,0,0,0,57,DOJ,2008
696,Public Affairs,2,4,1,2,0,1,0,0,0,0,0,1,0,11,DOJ,2008
697,PRAO,15,0,0,1,0,0,0,0,0,0,0,0,0,16,DOJ,2008
698,TAX,124,5,1,3,1,1,0,0,0,0,0,0,0,135,DOJ,2008
699,USMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2008
700,USNCB,122,0,0,0,0,0,0,0,0,0,0,0,0,122,DOJ,2008
701,USPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2008
702,Total,30775,6710,2901,1647,1157,822,533,389,290,265,707,352,735,47283,DOJ,2008
703,Office of the AG,98,26,23,7,7,3,4,4,2,1,13,6,9,203,DOJ,2009
704,Office of the DAG,29,12,9,3,2,1,4,1,2,2,8,1,7,81,DOJ,2009
705,Office of the Assoc. AG,18,5,8,1,1,0,1,1,1,2,2,0,2,42,DOJ,2009
706,Antitrust,49,6,0,1,0,0,0,0,0,0,0,0,0,56,DOJ,2009
707,ATF,1237,132,23,10,12,4,5,1,0,0,4,0,0,1428,DOJ,2009
708,BOP,10273,2022,872,411,234,192,125,68,26,8,0,0,0,14231,DOJ,2009
709,Civil,174,71,25,16,4,3,0,2,2,0,2,0,0,299,DOJ,2009
710,Civil Rights,318,38,8,0,0,0,0,0,0,0,0,0,0,364,DOJ,2009
711,COPS,66,0,0,0,0,0,0,0,0,0,0,0,0,66,DOJ,2009
712,Criminal,102,57,55,46,26,11,8,4,3,5,3,0,0,320,DOJ,2009
713,CRS,6,1,0,0,0,0,0,0,0,0,0,0,0,7,DOJ,2009
714,DEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2009
715,ENRD,23,30,11,3,4,2,0,0,0,0,0,0,0,73,DOJ,2009
716,EOIR,7148,3024,1321,354,113,63,21,16,6,7,15,3,0,12091,DOJ,2009
717,EOUSA,1303,421,373,301,205,174,115,83,84,44,179,94,326,3702,DOJ,2009
718,EOUST,22,4,2,0,0,0,0,0,0,0,0,0,0,28,DOJ,2009
719,FBI,4452,1253,848,566,443,386,228,136,111,83,198,77,104,8885,DOJ,2009
720,FCSC,20,3,1,0,1,0,0,0,0,0,0,0,0,25,DOJ,2009
721,JMD,50,11,3,3,1,1,0,1,0,0,1,0,0,71,DOJ,2009
722,NDIC,77,6,1,1,0,0,0,0,0,0,0,0,0,85,DOJ,2009
723,NSD,90,16,13,12,2,4,1,2,0,0,6,0,0,146,DOJ,2009
724,ODR,7,0,0,0,0,0,0,0,0,0,0,0,0,7,DOJ,2009
725,OFDT,37,5,3,1,0,0,0,0,0,0,0,0,0,46,DOJ,2009
726,OIG,162,3,0,0,0,0,0,0,0,0,0,0,0,165,DOJ,2009
727,OIP,350,17,4,1,1,0,3,3,1,0,5,2,3,390,DOJ,2009
728,OIPL,2,7,3,0,0,0,1,0,0,0,1,2,0,16,DOJ,2009
729,OJP,219,44,19,0,2,1,0,0,0,0,0,0,0,285,DOJ,2009
730,OLA,11,8,6,4,3,0,3,0,1,2,4,3,3,48,DOJ,2009
731,OLC,14,4,3,2,1,1,0,0,0,0,2,1,6,34,DOJ,2009
732,OLP,34,28,10,4,0,0,1,0,0,0,1,3,2,83,DOJ,2009
733,OPR,33,18,14,11,2,0,3,0,1,1,0,0,0,83,DOJ,2009
734,OSG,78,42,0,0,0,0,0,0,0,0,0,0,0,120,DOJ,2009
735,OVW,36,7,1,0,0,0,0,0,0,0,0,0,0,44,DOJ,2009
736,Pardon Attorney,77,11,8,2,0,0,0,0,0,0,0,0,0,98,DOJ,2009
737,Public Affairs,22,7,5,0,0,0,1,0,1,1,4,0,0,41,DOJ,2009
738,PRAO,14,1,0,0,0,0,0,0,0,0,0,0,0,15,DOJ,2009
739,TAX,74,8,2,0,0,0,0,0,0,0,0,0,0,84,DOJ,2009
740,USMS,1034,179,70,31,12,2,0,4,1,0,3,1,0,1337,DOJ,2009
741,USNCB,142,2,0,0,0,0,0,0,0,0,0,0,0,144,DOJ,2009
742,USPC,482,30,10,1,2,0,1,0,1,0,1,0,0,528,DOJ,2009
743,Total,28383,7559,3754,1792,1078,848,525,326,243,156,452,193,462,45771,DOJ,2009
744,Office of the AG,69,19,11,9,8,12,4,3,6,2,6,11,4,164,DOJ,2010
745,Office of the DAG,19,9,6,3,5,5,0,4,7,2,7,9,3,79,DOJ,2010
746,Office of the Assoc. AG,23,5,2,0,4,4,1,2,5,1,3,1,0,51,DOJ,2010
747,Antitrust,54,9,0,0,0,0,0,0,0,0,0,0,0,63,DOJ,2010
748,ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2010
749,BOP,11039,1684,701,439,263,172,113,70,68,68,78,15,4,14714,DOJ,2010
750,Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2010
751,Civil Rights,312,26,10,0,0,0,0,0,0,0,0,0,0,348,DOJ,2010
752,COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2010
753,Criminal,149,53,25,7,7,3,2,2,1,0,1,0,0,250,DOJ,2010
754,CRS,9,0,0,0,0,0,0,0,0,0,0,0,0,9,DOJ,2010
755,DEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2010
756,ENRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2010
757,EOIR,8375,5677,1838,516,227,151,75,50,27,15,17,1,0,16969,DOJ,2010
758,EOUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2010
759,EOUST,12,0,0,0,0,0,0,0,0,0,0,0,0,12,DOJ,2010
760,FBI,7508,2336,1120,838,530,343,216,135,126,77,201,74,37,13541,DOJ,2010
761,FCSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2010
762,JMD,33,19,4,4,1,3,1,0,0,0,2,2,1,70,DOJ,2010
763,NDIC,58,15,0,1,0,0,0,0,1,0,1,0,0,76,DOJ,2010
764,NSD,62,4,0,0,0,0,0,0,0,0,0,0,0,66,DOJ,2010
765,OCDETF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2010
766,ODR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2010
767,OFDT,16,1,2,0,0,0,0,0,1,0,0,0,0,20,DOJ,2010
768,OIG,170,5,0,0,0,0,0,0,0,0,0,0,0,175,DOJ,2010
769,OIP,73,7,8,7,4,1,2,3,1,1,5,0,1,113,DOJ,2010
770,OIPL,2,1,2,1,2,1,1,1,0,1,3,1,0,16,DOJ,2010
771,OJP,168,66,32,12,10,5,5,3,5,0,0,0,0,306,DOJ,2010
772,OLA,5,3,1,3,5,4,1,1,2,2,29,5,2,63,DOJ,2010
773,OLC,10,2,0,0,2,0,1,0,1,0,2,1,0,19,DOJ,2010
774,OLP,48,6,1,3,0,3,1,1,1,0,3,1,1,69,DOJ,2010
775,OPR,47,29,5,1,2,0,0,1,0,0,0,0,0,85,DOJ,2010
776,OSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2010
777,OVW,43,8,0,0,0,0,0,0,0,0,0,0,0,51,DOJ,2010
778,Pardon Attorney,70,6,1,0,0,0,0,0,0,0,0,0,0,77,DOJ,2010
779,Public Affairs,5,0,4,0,0,0,3,1,0,0,2,2,0,17,DOJ,2010
780,PRAO,13,1,0,0,0,0,0,0,0,0,0,0,0,14,DOJ,2010
781,TAX,95,5,3,0,0,2,0,0,0,0,0,0,0,105,DOJ,2010
782,USMS,1444,158,43,23,20,4,4,5,0,0,1,0,0,1702,DOJ,2010
783,USNCB,110,12,7,4,6,8,0,0,0,0,0,0,0,147,DOJ,2010
784,USPC,369,38,20,16,5,1,1,1,1,0,2,1,0,455,DOJ,2010
785,Total,30410,10204,3846,1887,1101,722,431,283,253,169,363,124,53,49846,DOJ,2010
786,Office of the AG,81,23,16,10,9,5,7,9,3,1,5,0,0,169,DOJ,2011
787,Office of the DAG,35,11,7,8,7,3,5,6,2,1,3,0,0,88,DOJ,2011
788,Office of the Assoc. AG,17,7,6,5,4,1,5,1,1,0,1,0,0,48,DOJ,2011
789,Antitrust,44,6,0,0,0,0,0,0,0,0,0,0,0,50,DOJ,2011
790,ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2011
791,BOP,8317,1583,780,505,384,249,216,123,60,56,126,16,9,12424,DOJ,2011
792,Civil,243,40,13,8,3,3,1,2,2,0,0,0,0,315,DOJ,2011
793,Civil Rights,341,24,2,0,0,0,0,0,0,0,0,0,0,367,DOJ,2011
794,COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2011
795,Criminal,143,29,7,5,1,0,3,0,1,0,3,0,1,193,DOJ,2011
796,CRS,9,1,0,0,0,0,0,0,0,0,0,0,0,10,DOJ,2011
797,DEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2011
798,ENRD,70,19,4,2,1,0,0,0,0,0,0,0,0,96,DOJ,2011
799,EOIR,11665,6360,1044,292,159,108,78,66,29,35,74,25,8,19943,DOJ,2011
800,EOUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2011
801,EOUST,18,2,1,0,0,0,0,0,0,0,0,0,0,21,DOJ,2011
802,FBI,4929,1326,708,397,299,145,127,82,64,66,155,47,17,8362,DOJ,2011
803,FCSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2011
804,JMD,38,15,5,3,2,0,1,0,0,0,1,0,0,65,DOJ,2011
805,NDIC,26,12,0,1,2,0,0,0,1,0,0,0,0,42,DOJ,2011
806,NSD,208,7,5,0,0,0,0,0,0,0,0,0,0,220,DOJ,2011
807,OCDETF,20,3,2,1,0,0,0,0,0,0,0,0,0,26,DOJ,2011
808,ODR,11,0,0,0,0,0,0,0,0,0,0,0,0,11,DOJ,2011
809,OFDT,10,2,0,0,0,0,0,0,0,0,0,0,0,12,DOJ,2011
810,OIG,186,7,2,3,1,1,0,0,1,0,0,0,0,201,DOJ,2011
811,OIP,123,15,13,9,9,6,6,8,1,3,14,0,0,207,DOJ,2011
812,OIPL,3,3,1,2,0,0,0,0,0,0,0,0,0,9,DOJ,2011
813,OJP,224,33,17,5,8,3,2,3,1,1,1,0,0,298,DOJ,2011
814,OLA,14,1,7,4,1,3,2,1,0,1,4,1,0,39,DOJ,2011
815,OLC,33,2,1,3,1,0,1,4,0,0,9,6,6,66,DOJ,2011
816,OLP,35,2,2,2,1,1,0,0,0,0,0,0,0,43,DOJ,2011
817,OPR,20,11,3,1,1,1,0,0,0,0,0,0,0,37,DOJ,2011
818,OSG,73,17,1,1,0,0,0,0,0,0,0,0,0,92,DOJ,2011
819,OVW,64,4,1,0,0,0,0,0,0,0,0,0,0,69,DOJ,2011
820,Pardon Attorney,82,10,3,1,0,0,0,0,0,0,0,0,1,97,DOJ,2011
821,Public Affairs,9,0,4,1,0,0,4,0,0,1,0,0,0,19,DOJ,2011
822,PRAO,24,0,0,0,0,0,0,0,0,0,0,0,1,25,DOJ,2011
823,TAX,65,7,0,0,0,0,0,0,0,0,0,0,0,72,DOJ,2011
824,USMS,1831,172,72,36,18,7,4,1,2,2,1,0,0,2146,DOJ,2011
825,USNCB,101,16,2,1,0,0,0,0,1,3,0,0,0,124,DOJ,2011
826,USPC,427,22,6,3,1,1,0,0,0,2,1,0,0,463,DOJ,2011
827,Total,29539,9792,2735,1309,912,537,462,306,169,172,398,95,43,46469,DOJ,2011
828,Office of the AG,114,23,7,2,1,2,0,0,0,1,1,2,1,154,DOJ,2012
829,Office of the DAG,46,12,5,0,2,1,0,2,0,0,2,1,1,72,DOJ,2012
830,Office of the Assoc. AG,35,8,6,0,0,1,0,0,1,0,1,0,0,52,DOJ,2012
831,Antitrust,77,0,0,0,0,0,0,0,0,0,0,0,0,77,DOJ,2012
832,ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2012
833,BOP,9596,2042,599,290,154,87,64,45,23,20,45,13,4,12982,DOJ,2012
834,Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2012
835,Civil Rights,289,37,12,0,0,0,0,1,0,0,0,0,1,340,DOJ,2012
836,COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2012
837,Criminal,43,40,12,4,2,0,1,0,1,1,2,1,0,107,DOJ,2012
838,CRS,20,0,1,0,0,0,0,0,0,0,0,0,0,21,DOJ,2012
839,DEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2012
840,ENRD,44,7,1,0,0,0,0,0,0,0,0,0,0,52,DOJ,2012
841,EOIR,16935,5002,759,266,125,55,36,26,12,17,30,15,9,23287,DOJ,2012
842,EOUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2012
843,EOUST,24,1,0,0,0,0,0,0,0,0,0,0,0,25,DOJ,2012
844,FBI,6267,1220,582,393,283,167,137,79,74,57,73,33,23,9388,DOJ,2012
845,FCSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2012
846,JMD,36,16,5,4,2,1,0,0,0,0,0,0,0,64,DOJ,2012
847,NSD,112,9,9,7,9,5,2,0,0,0,1,0,0,154,DOJ,2012
848,OCDETF,8,2,4,2,0,0,0,0,0,0,0,0,0,16,DOJ,2012
849,OFDT,23,4,6,0,0,0,1,0,0,0,0,0,0,34,DOJ,2012
850,OIG,140,6,2,0,1,0,0,0,0,0,1,0,0,150,DOJ,2012
851,OIP,177,27,7,0,1,2,0,4,2,2,2,2,1,227,DOJ,2012
852,OIPL,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOJ,2012
853,OJP,132,23,3,4,0,0,0,0,0,0,0,0,0,162,DOJ,2012
854,OLA,20,5,2,2,0,0,0,2,0,0,0,0,0,31,DOJ,2012
855,OLC,74,12,1,0,0,0,1,1,0,0,0,0,1,90,DOJ,2012
856,OLP,32,8,1,0,0,0,0,0,0,0,0,0,0,41,DOJ,2012
857,OPR,23,23,5,4,2,0,0,0,1,0,0,0,0,58,DOJ,2012
858,OSG,84,5,1,0,0,1,0,0,1,0,1,0,0,93,DOJ,2012
859,OVW,62,9,0,0,0,0,0,0,0,0,0,0,0,71,DOJ,2012
860,Pardon Attorney,125,0,0,0,0,0,0,0,0,0,0,0,0,125,DOJ,2012
861,Public Affairs,7,2,1,0,0,1,0,0,0,0,0,0,0,11,DOJ,2012
862,PRAO,23,0,1,0,0,0,0,0,0,0,0,0,0,24,DOJ,2012
863,TAX,98,7,5,0,1,0,0,0,0,0,0,0,0,111,DOJ,2012
864,USMS,2207,168,65,34,17,24,12,17,7,0,1,0,0,2552,DOJ,2012
865,USNCB,105,28,9,8,3,4,0,1,0,1,3,0,0,162,DOJ,2012
866,USPC,332,25,8,4,1,1,0,0,0,0,1,0,0,372,DOJ,2012
867,Total,37312,8771,2119,1024,604,352,254,178,122,99,164,67,41,51107,DOJ,2012
868,Office of the AG,96,16,2,6,3,6,2,0,0,2,0,0,0,133,DOJ,2013
869,Office of the DAG,47,15,1,0,1,2,0,0,0,1,0,0,0,67,DOJ,2013
870,Office of the Assoc. AG,34,11,1,0,1,2,0,0,0,1,0,0,0,50,DOJ,2013
871,Antitrust,55,0,0,0,0,0,0,0,0,0,0,0,0,55,DOJ,2013
872,ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2013
873,BOP,9357,1815,427,260,139,96,57,52,28,34,93,14,4,12376,DOJ,2013
874,Civil,98,1,0,0,0,1,0,0,0,0,0,0,0,100,DOJ,2013
875,Civil Rights,339,25,15,0,0,0,2,0,0,0,0,0,0,381,DOJ,2013
876,COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2013
877,Criminal,106,48,12,8,2,0,0,0,0,0,0,1,0,177,DOJ,2013
878,CRS,15,0,0,0,0,0,0,0,0,0,0,0,0,15,DOJ,2013
879,DEA,276,14,7,5,3,3,0,0,0,1,0,0,0,309,DOJ,2013
880,ENRD,38,16,6,5,5,1,1,0,1,0,0,0,0,73,DOJ,2013
881,EOIR,20286,3280,784,392,173,107,45,30,29,17,32,8,7,25190,DOJ,2013
882,EOUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2013
883,EOUST,15,2,1,0,0,0,0,0,0,0,0,0,0,18,DOJ,2013
884,FBI,4899,1518,628,423,335,308,301,211,160,97,200,100,15,9195,DOJ,2013
885,FCSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2013
886,JMD,35,7,2,1,1,0,3,1,1,1,3,2,0,57,DOJ,2013
887,NSD,90,10,1,2,0,0,0,0,0,0,3,0,0,106,DOJ,2013
888,OCDETF,15,14,1,1,0,0,0,1,0,0,0,0,0,32,DOJ,2013
889,OIG,48,5,0,0,0,0,0,0,0,0,0,0,0,53,DOJ,2013
890,OIP,248,31,2,3,0,0,1,0,0,0,3,1,5,294,DOJ,2013
891,OJP,139,44,17,8,0,0,1,0,0,0,0,0,0,209,DOJ,2013
892,OLA,15,7,2,3,2,1,0,0,0,1,0,0,0,31,DOJ,2013
893,OLC,36,9,1,4,2,0,0,1,0,0,0,0,0,53,DOJ,2013
894,OLP,19,7,1,1,0,0,0,0,0,0,0,0,0,28,DOJ,2013
895,OPR,59,13,15,5,2,2,2,2,0,1,0,1,0,102,DOJ,2013
896,OSG,45,33,10,2,0,1,1,0,0,0,0,1,0,93,DOJ,2013
897,OVW,45,5,0,0,0,0,0,1,0,0,0,0,0,51,DOJ,2013
898,Pardon Attorney,69,0,0,0,0,0,0,0,0,0,0,0,0,69,DOJ,2013
899,Public Affairs,5,1,1,0,0,0,0,0,0,0,0,0,0,7,DOJ,2013
900,PRAO,13,2,0,0,0,0,0,1,0,0,0,0,0,16,DOJ,2013
901,TAX,76,4,1,3,0,0,0,0,0,0,0,0,0,84,DOJ,2013
902,USMS,1983,136,48,35,21,12,19,20,24,26,34,6,7,2371,DOJ,2013
903,USNCB,182,0,0,0,0,0,0,1,0,1,1,0,1,186,DOJ,2013
904,USPC,235,19,9,4,4,1,1,0,0,0,0,0,0,273,DOJ,2013
905,Total,39018,7108,1995,1171,694,543,436,321,243,183,369,134,39,52254,DOJ,2013
906,Office of the AG,40,21,5,1,2,2,0,0,1,0,1,0,0,73,DOJ,2014
907,Office of the DAG,20,12,1,0,1,1,0,0,0,0,0,1,0,36,DOJ,2014
908,Office of the Assoc. AG,18,16,1,0,1,0,0,2,0,0,1,0,0,39,DOJ,2014
909,Antitrust,43,3,0,0,0,0,0,0,0,0,0,0,0,46,DOJ,2014
910,ATF,6,15,16,7,6,1,1,2,1,0,0,1,0,56,DOJ,2014
911,BOP,7071,799,406,306,195,147,116,86,73,88,229,96,41,9653,DOJ,2014
912,Civil,82,3,2,0,0,0,2,1,1,1,1,0,0,93,DOJ,2014
913,Civil Rights,217,11,1,0,0,0,0,0,0,0,0,0,0,229,DOJ,2014
914,COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2014
915,Criminal,186,111,30,8,4,1,0,0,1,3,6,3,0,353,DOJ,2014
916,CRS,9,0,0,0,0,0,0,0,0,0,0,0,0,9,DOJ,2014
917,DEA,240,18,0,1,0,0,1,0,0,0,0,0,0,260,DOJ,2014
918,ENRD,46,10,6,3,1,2,0,0,2,0,0,0,0,70,DOJ,2014
919,EOIR,11518,6442,2315,917,530,237,142,84,46,36,84,24,12,22387,DOJ,2014
920,EOUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOJ,2014
921,EOUST,24,1,1,0,0,0,0,0,0,0,0,0,0,26,DOJ,2014
922,FBI,5142,1294,752,499,326,235,172,157,203,122,243,82,48,9275,DOJ,2014
923,FCSC,8,2,0,0,0,0,0,0,0,0,0,0,0,10,DOJ,2014
924,JMD,25,6,2,1,0,0,1,0,0,0,0,0,0,35,DOJ,2014
925,NSD,45,8,5,18,2,5,4,7,4,5,43,3,3,152,DOJ,2014
926,OCDETF,14,4,1,0,0,0,0,0,0,0,0,0,0,19,DOJ,2014
927,OIG,39,19,0,1,0,0,0,0,0,0,0,0,0,59,DOJ,2014
928,OIP,162,33,4,1,3,1,0,0,0,0,4,1,2,211,DOJ,2014
929,OJP,124,53,18,11,4,0,1,1,0,0,0,0,0,212,DOJ,2014
930,OLA,8,7,1,3,0,0,0,0,0,1,0,0,0,20,DOJ,2014
931,OLC,33,3,0,1,3,1,0,0,0,0,1,0,0,42,DOJ,2014
932,OLP,16,4,2,0,0,0,0,0,0,0,0,0,0,22,DOJ,2014
933,OPR,65,7,1,3,0,0,2,0,0,1,2,1,0,82,DOJ,2014
934,OSG,15,14,10,13,1,2,0,1,0,0,0,0,0,56,DOJ,2014
935,OVW,62,11,2,0,0,0,0,0,0,0,0,0,0,75,DOJ,2014
936,Pardon Attorney,54,1,1,0,1,0,0,0,0,0,0,0,0,57,DOJ,2014
937,Public Affairs,0,1,0,0,0,0,0,0,0,0,0,0,0,1,DOJ,2014
938,PRAO,9,2,0,0,0,0,0,0,0,0,0,0,0,11,DOJ,2014
939,TAX,36,5,3,0,0,0,0,2,0,0,3,0,0,49,DOJ,2014
940,USMS,1398,127,48,30,28,24,16,12,14,3,31,16,3,1750,DOJ,2014
941,USNCB,172,2,0,1,0,1,0,0,1,0,0,0,0,177,DOJ,2014
942,USPC,139,45,24,8,7,1,1,0,1,0,0,0,0,226,DOJ,2014
943,Total,27086,9110,3658,1833,1115,661,459,355,348,260,649,228,109,45871,DOJ,2014
944,Office of the AG,68,21,8,2,5,1,1,2,0,0,1,0,0,109,DOJ,2015
945,Office of the DAG,30,10,2,1,2,0,0,2,2,0,1,0,0,50,DOJ,2015
946,Office of the Assoc. AG,19,7,3,0,1,0,0,1,0,0,0,0,0,31,DOJ,2015
947,Antitrust,69,0,0,0,0,0,0,0,0,0,0,0,0,69,DOJ,2015
948,ATF,60,62,47,47,53,83,51,65,49,34,88,42,7,688,DOJ,2015
949,BOP,2211,439,96,69,66,48,32,24,12,2,3,4,1,3007,DOJ,2015
950,Civil,96,12,2,1,0,0,0,0,0,0,0,0,0,111,DOJ,2015
951,Civil Rights,311,17,1,0,0,0,0,0,0,0,0,0,0,329,DOJ,2015
952,COPS,21,0,0,0,0,0,0,0,0,0,0,0,0,21,DOJ,2015
953,Criminal,281,80,8,1,0,0,0,0,0,0,0,0,0,370,DOJ,2015
954,CRS,16,1,1,0,0,0,0,0,0,0,0,0,0,18,DOJ,2015
955,DEA,385,107,9,0,0,1,0,0,0,0,0,0,0,502,DOJ,2015
956,ENRD,66,17,3,4,1,1,0,1,0,0,0,0,0,93,DOJ,2015
957,EOIR,16253,6683,1772,917,563,388,246,193,155,133,323,83,31,27740,DOJ,2015
958,EOUSA,458,225,19,2,0,0,0,0,1,0,0,0,0,705,DOJ,2015
959,EOUST,19,2,0,0,0,0,0,0,0,0,0,0,0,21,DOJ,2015
960,FBI,6345,1134,715,457,276,166,130,95,57,43,99,24,30,9571,DOJ,2015
961,FCSC,34,5,1,0,0,0,0,0,0,0,0,0,0,40,DOJ,2015
962,JMD,10,3,0,0,0,0,0,0,0,0,0,0,0,13,DOJ,2015
963,NSD,56,12,3,2,1,2,2,0,1,0,4,3,0,86,DOJ,2015
964,OCDETF,12,0,0,0,0,0,0,0,0,0,0,0,0,12,DOJ,2015
965,OIG,135,1,1,1,0,0,0,0,0,0,0,0,0,138,DOJ,2015
966,OIP,104,26,5,3,3,2,0,2,0,1,1,1,2,150,DOJ,2015
967,OJP,71,36,7,2,0,0,0,0,0,0,0,0,0,116,DOJ,2015
968,OLA,11,5,6,1,1,0,0,1,0,0,1,0,0,26,DOJ,2015
969,OLC,48,5,2,1,0,1,1,1,1,0,0,1,0,61,DOJ,2015
970,OLP,21,10,4,1,2,0,0,0,0,0,0,0,0,38,DOJ,2015
971,OPR,97,2,1,0,0,0,0,0,0,0,0,0,0,100,DOJ,2015
972,OSG,27,40,11,6,2,0,1,0,1,0,0,0,0,88,DOJ,2015
973,OVW,80,31,3,0,0,0,0,0,0,0,0,0,0,114,DOJ,2015
974,Pardon Attorney,33,8,7,7,6,2,2,2,1,6,5,0,0,79,DOJ,2015
975,Public Affairs,4,3,3,0,1,0,0,1,0,0,0,0,0,12,DOJ,2015
976,PRAO,26,2,0,0,1,0,0,0,0,0,0,0,1,30,DOJ,2015
977,TAX,33,19,6,5,7,1,9,1,0,0,0,0,0,81,DOJ,2015
978,USMS,1179,208,54,32,33,42,23,6,7,4,15,8,12,1623,DOJ,2015
979,USNCB,162,4,0,0,0,0,0,0,0,0,0,0,0,166,DOJ,2015
980,USPC,207,29,12,6,0,0,0,1,0,3,1,0,0,259,DOJ,2015
981,Total,29058,9266,2812,1568,1024,738,498,398,287,226,542,166,84,46667,DOJ,2015
