Agency,Average Number of Days,Component,Highest Number of Days,Lowest Number of Days,Median Number of Days,Year
U.S. CPSC,14.0,U.S. CPSC,20.0,6.0,16.0,2008
U.S. DOL,231.0,DOL,1547.0,0.0,65.0,2008
US RRB,0.0,OIG,0.0,0.0,0.0,2008
US RRB,17.5,RRB,25.0,10.0,17.5,2008
USIBWC,0.0,USIBWC,0.0,0.0,0.0,2008
USITC,0.0,USITC,0.0,0.0,0.0,2008
USNRC,29.0,USNRC,156.0,,16.0,2008
VA,199.0,GC (02),1026.0,1.0,115.0,2008
CEQ,0.0,CEQ,0.0,0.0,0.0,2009
CFTC,46.2,CFTC,74.0,26.0,38.0,2009
CIA,242.0,CIA,4078.0,0.0,112.0,2009
CNCS,0.0,CNCS,0.0,0.0,0.0,2009
CO,0.0,CO,0.0,0.0,0.0,2009
CPPBSD,17.0,CPPBSD,17.0,17.0,17.0,2009
CSB,23.0,CSB,30.0,20.0,20.0,2009
DHS,182.0,CBP,1408.0,1.0,60.0,2009
DHS,21.0,FLETC,23.0,19.0,21.0,2009
DHS,216.63,OGC,1183.0,13.0,174.0,2009
DHS,82.86,TSA,404.0,2.0,63.0,2009
DHS,287.92,USCG,953.0,17.0,245.5,2009
DHS,591.43,USCIS,1718.0,1.0,530.04,2009
DHS,95.67,USSS,406.0,9.0,78.0,2009
DNFSB,0.0,OGC,0.0,0.0,0.0,2009
DNFSB,0.0,OGM,0.0,0.0,0.0,2009
DOC,19.0,PTO,20.0,1.0,17.0,2009
DOC,410.0,AGC/Admin.,1447.0,4.0,208.0,2009
DoD,112.0,AF,1553.0,1.0,21.0,2009
DoD,0.0,AFRICOM,0.0,0.0,0.0,2009
DoD,95.0,ARMY,598.0,1.0,40.0,2009
DoD,0.0,ASBCA,0.0,0.0,0.0,2009
DoD,0.0,CENTCOM,0.0,0.0,0.0,2009
DoD,18.0,DCAA,22.0,12.0,20.0,2009
DoD,43.0,DCMA,64.0,19.0,47.0,2009
DoD,15.0,DeCA,15.0,10.0,10.0,2009
DoD,51.0,DFAS,73.0,30.0,51.0,2009
DoD,570.0,DIA,1234.0,139.0,628.0,2009
