SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
826,HMS-ITP,FOUR SEAS INC,"8 SEAFOOD WAY, UNIT 8",BOSTON,MA,2210,07/01/2016,07/31/2017
825,HMS-ITP,SLADE GORTON & CO INC,225 SOUTHAMPTON STREET,BOSTON,MA,2118,08/01/2016,08/31/2017
1567,HMS-ITP,NORTH ATLANTIC TRADERS LTD,PO BOX 159,MARBLEHEAD,MA,1945,06/01/2016,06/30/2017
527,HMS-ITP,STAVIS SEAFOOD INC,"212 NORTHERN AVENUE, SUITE 305",BOSTON,MA,2210,09/01/2016,09/30/2017
99,HMS-ITP,F J O'HARA & SONS INC,7 FID KENNEDY AVE,BOSTON,MA,2210,06/01/2016,06/30/2017
1145,HMS-ITP,NORTH COAST SEAFOODS CORP,5 DRYDOCK AVE,BOSTON,MA,2210,06/01/2016,06/30/2017
1936,HMS-ITP,NIPPON EXPRESS USA INC,30 INNERBELT ROAD,SOMERVILLE,MA,2143,07/01/2016,07/31/2017
1972,HMS-ITP,ISLAND LOBSTER LTD,"127 EASTERN AVE, SUITE 3 LOWER BLDG",GLOUCESTER,MA,1930,05/01/2016,05/31/2017
2153,HMS-ITP,EAST BAY SEAFOOD,8 SEAFOOD WAY,BOSTON,MA,2210,09/01/2016,09/30/2017
2267,HMS-ITP,WILDFISH LLC DBA REDS BEST,37 BOSTON FISH PIER,BOSTON,MA,2210,03/01/2016,03/31/2017
2233,HMS-ITP,NATIONAL FISH SEAFOOD INC,11-15 PARKER ST,GLOUCESTER,MA,1930,06/01/2016,06/30/2017
2720,HMS-ITP,NIPPON TRADING,4 MILL STREET,DORCHESTER,MA,2122,07/01/2016,07/31/2017
2295,HMS-ITP,AUSTRALIS AQUACUTURE LLC,1 AUTRALIA WAY,TURNERS FALLS,MA,1376,05/01/2016,05/31/2017
2271,HMS-ITP,F W BRYCE INC,8 POND RD,GLOUCESTER,MA,1930,04/11/2016,05/31/2017
2363,HMS-ITP,HYGRADE OCEAN PRODUCTS INC,86 MACARTHUR DR,NEW BEDFORD,MA,2740,05/01/2016,05/31/2017
2769,HMS-ITP,BLUE HARVEST MARINE SERVICES LLC,4 WASHINGTON ST,FAIRHAVEN,MA,2719,04/01/2016,04/30/2017
2799,HMS-ITP,WELLFLEET SHELLFISH CO,P O BOX 1768,WELLFLEET,MA,2667,08/05/2016,03/31/2017
2817,HMS-ITP,BLUE HARVEST FOODS LLC,86 MACARTHUR DR,NEW BEDFORD,MA,2740,07/01/2016,07/31/2017
1916,HMS-ITP,JESS'S MARKET INC,118 MAIN ST,ROCKLAND,ME,4841,05/01/2016,05/31/2017
1903,HMS-ITP,FRESH ATLANTIC USA INC,416A COMMERCIAL ST,PORTLAND,ME,4101,06/01/2016,06/30/2017
2348,HMS-ITP,BROWNE TRADING CO INC,260 COMMERCIAL ST,PORTLAND,ME,4101,04/01/2016,04/30/2017
1686,HMS-ITP,S & M FISHERIES INC,PO BOX 584,KENNEBUNKPORT,ME,4046,05/01/2016,05/31/2017
2562,HMS-ITP,DOUTY BROS INC,10-A PORTLAND FISH PIER,PORTLAND,ME,4101,06/01/2016,06/30/2017
1514,HMS-ITP,MORGAN HARVEST INC,304 STEAMSHIP LANE,NEWPORT,NC,28570,08/01/2016,08/31/2017
2523,HMS-ITP,SEASOURCE INC,"1811 SARDIS RD N, SUITE 216",CHARLOTTE,NC,28270,02/01/2016,02/28/2017
2502,HMS-ITP,HERON POINT SEAFOOD INC,502 KENT PLACE,NEW MARKET,NH,3857,04/01/2016,04/30/2017
1917,HMS-ITP,UORIKI FRESH INC,"401 PENHORN AVE, UNIT 6",SECAUCUS,NJ,7094,04/09/2016,09/30/2017
119,HMS-ITP,LUND'S FISHERIES INC,997 OCEAN DRIVE,CAPE MAY,NJ,8204,04/01/2016,04/30/2017
2722,HMS-ITP,SEAS STAR FOOD USA INC,1015 HOYT AVE,RIDGEFIELD,NJ,7657,04/01/2016,10/31/2017
1534,HMS-ITP,GLOBAL FOOD TRADING CORP,"45 CAREY, STE 208",BUTLER,NJ,7405,09/01/2016,09/30/2017
859,HMS-ITP,KASHIKO INC,4164 ATLANTIC AVENUE,WALL TOWNSHIP,NJ,7727,04/01/2016,04/30/2017
1734,HMS-ITP,TRUE WORLD FOODS NEW YORK LLC,32-34 PAPETTI PLAZA,ELIZABETH,NJ,7206,02/01/2016,02/28/2017
