Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",6,FWS,6
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",0,NPS,6
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",0,OIG,6
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",0,OS,6
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",0,OSM,6
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",0,SOL,6
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",0,USGS,6
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,0,BIA,7
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,2,BLM,7
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,0,BOEMRE,7
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,0,BOR,7
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,1,FWS,7
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,3,NPS,7
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,0,OIG,7
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,0,OS,7
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,0,OSM,7
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,0,SOL,7
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Proposals of unsuccessful bidders.,None,1,USGS,7
