Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
MBDA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2012
NIST,159,28,5,6,1,3,0,1,1,0,0,1,1,206,2012
NOAA,106,33,17,4,4,3,2,1,0,2,1,0,0,173,2012
NTIA,23,4,0,0,0,0,0,0,0,0,0,0,0,27,2012
NTIS,11,2,0,0,0,0,0,0,0,0,0,0,0,13,2012
OIG,36,4,2,0,0,0,0,0,0,0,0,0,0,42,2012
OS,91,2,0,0,0,0,0,0,0,0,0,0,0,93,2012
PTO,242,5,0,0,0,0,0,0,0,0,0,0,0,247,2012
Total,824,146,25,12,7,8,3,2,2,2,4,2,1,1038,2012
BIS,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2013
Census,133,0,0,0,0,0,0,0,0,0,0,0,0,133,2013
EDA,16,0,0,0,0,0,0,0,0,0,0,0,0,16,2013
ESA,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2013
ITA,5,0,0,0,0,0,0,0,0,0,0,0,0,5,2013
MBDA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013
NIST,149,0,0,0,0,0,0,0,0,0,0,0,0,149,2013
NOAA,129,0,0,0,0,0,0,0,0,0,0,0,0,129,2013
NTIA,83,0,0,0,0,0,0,0,0,0,0,0,0,83,2013
NTIS,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2013
OIG,49,0,0,0,0,0,0,0,0,0,0,0,0,49,2013
OS,54,0,0,0,0,0,0,0,0,0,0,0,0,54,2013
PTO,292,0,0,0,0,0,0,0,0,0,0,0,0,292,2013
Total,941,0,0,0,0,0,0,0,0,0,0,0,0,941,2013
BIS,48,0,0,0,0,0,0,0,0,0,0,0,0,48,2014
Census,276,0,0,0,0,0,0,0,0,0,0,0,0,276,2014
EDA,28,0,0,0,0,0,0,0,0,0,0,0,0,28,2014
ESA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2014
ITA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2014
MBDA,2,2,1,0,1,0,0,0,0,0,0,0,0,6,2014
NIST,63,0,0,0,0,0,0,0,0,0,0,0,0,63,2014
NOAA,125,0,0,0,0,0,0,0,0,0,0,0,0,125,2014
NTIA,36,3,1,0,0,0,0,0,0,0,0,0,0,40,2014
NTIS,4,1,0,2,1,0,0,0,0,0,0,0,0,8,2014
OIG,30,7,1,0,0,0,0,0,0,0,0,0,0,38,2014
OS,89,0,0,0,0,0,0,0,0,0,0,0,0,89,2014
PTO,261,0,0,0,0,0,0,0,0,0,0,0,0,261,2014
Total,967,13,3,2,2,0,0,0,0,0,0,0,0,987,2014
BIS,57,0,0,0,0,0,0,0,0,0,0,0,0,57,2015
Census,469,1,0,0,0,0,0,0,0,0,0,0,0,470,2015
EDA,21,0,0,0,0,0,0,0,0,0,0,0,0,21,2015
ESA,6,2,1,0,0,0,0,0,0,0,0,0,0,9,2015
ITA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
MBDA,2,1,2,0,0,0,0,0,0,0,0,0,0,5,2015
NIST,61,0,0,0,0,0,0,0,0,0,0,0,0,61,2015
NOAA,160,95,53,38,20,19,7,13,10,4,27,11,9,466,2015
NTIA,43,1,0,0,0,0,0,0,0,0,0,0,0,44,2015
NTIS,7,5,0,0,0,0,0,0,0,0,0,0,0,12,2015
OIG,74,21,2,1,0,0,0,0,0,0,0,0,0,98,2015
OS,109,20,10,17,7,1,2,4,3,4,7,10,11,205,2015
PTO,301,29,1,0,0,0,0,0,0,0,0,0,0,331,2015
Total,1312,175,69,56,27,20,9,17,13,8,34,21,20,1781,2015
