Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Region 3,653,605,53,7,2,2,1,0,0,0,0,0,0,1323,2010
Region 4,530,204,32,9,6,2,3,2,1,0,1,0,0,790,2010
Region 5,1380,146,33,12,3,1,1,0,0,0,0,0,0,1576,2010
Region 6,184,226,78,31,8,12,1,4,3,0,3,4,10,564,2010
Region 7,383,127,9,2,2,0,0,0,0,0,0,0,0,523,2010
Region 8,299,44,12,0,1,0,1,0,0,0,0,0,0,357,2010
Region 9,257,196,32,8,2,4,0,0,0,0,1,0,0,500,2010
Region 10,268,96,20,6,4,4,2,2,2,2,7,1,2,416,2010
Total,5245,2472,588,219,242,170,179,132,34,19,70,27,78,9475,2010
HQ,1132,471,195,94,66,38,50,24,23,25,87,45,88,2338,2011
Region 1,148,55,11,1,2,2,0,0,0,1,0,0,0,220,2011
Region 2,150,224,181,203,119,122,298,219,60,4,20,104,0,1704,2011
Region 3,552,597,36,4,0,0,1,0,0,0,0,0,0,1190,2011
Region 4,429,235,59,19,10,1,1,1,0,0,1,0,1,757,2011
Region 5,1158,178,35,6,4,2,3,0,2,0,2,0,0,1390,2011
Region 6,217,239,60,25,13,7,2,3,2,0,4,0,2,574,2011
Region 7,552,82,2,2,0,1,1,0,0,0,0,0,0,640,2011
Region 8,252,54,12,1,3,0,0,0,0,0,0,1,0,323,2011
Region 9,470,135,21,4,2,0,0,0,1,0,0,1,0,634,2011
Region 10,251,131,28,7,3,1,2,2,3,7,9,0,0,444,2011
Total,5311,2401,640,366,222,174,358,249,91,37,123,151,91,10214,2011
HQ,801,0,0,0,0,0,0,0,0,0,0,0,0,801,2012
Region 1,164,0,0,0,0,0,0,0,0,0,0,0,0,164,2012
Region 2,154,0,0,0,0,0,0,0,0,0,0,0,0,154,2012
Region 3,357,0,0,0,0,0,0,0,0,0,0,0,0,357,2012
Region 4,450,0,0,0,0,0,0,0,0,0,0,0,0,450,2012
Region 5,974,0,0,0,0,0,0,0,0,0,0,0,0,974,2012
Region 6,163,0,0,0,0,0,0,0,0,0,0,0,0,163,2012
Region 7,486,0,0,0,0,0,0,0,0,0,0,0,0,486,2012
Region 8,186,0,0,0,0,0,0,0,0,0,0,0,0,186,2012
Region 9,338,0,0,0,0,0,0,0,0,0,0,0,0,338,2012
Region 10,183,0,0,0,0,0,0,0,0,0,0,0,0,183,2012
Total,4256,0,0,0,0,0,0,0,0,0,0,0,0,4256,2012
HQ,485,12,9,23,8,7,6,5,3,3,12,7,34,614,2013
Region 1,155,4,18,1,0,0,0,0,0,0,0,0,0,178,2013
Region 2,514,0,0,0,1,0,0,0,0,0,0,0,0,515,2013
Region 3,81,32,11,33,1,0,0,0,0,0,0,0,0,158,2013
Region 4,352,0,0,0,0,0,0,0,0,0,0,0,0,352,2013
Region 5,774,54,15,1,1,2,1,0,0,0,0,2,0,850,2013
Region 6,7,0,0,0,0,1,0,2,1,0,7,0,6,24,2013
Region 7,431,10,2,0,0,2,0,1,0,0,0,0,0,446,2013
Region 8,164,0,0,0,0,6,10,0,0,0,0,1,0,181,2013
Region 9,251,0,0,0,0,0,0,0,0,0,0,0,0,251,2013
Region 10,202,0,1,0,1,0,0,1,0,3,2,1,1,212,2013
Total,3416,112,56,58,12,18,17,9,4,6,21,11,41,3781,2013
HQ,604,0,0,0,0,0,0,0,0,0,0,0,0,604,2014
Region 1,165,0,0,0,0,0,0,0,0,0,0,0,0,165,2014
Region 2,439,0,0,0,0,0,0,0,0,0,0,0,0,439,2014
Region 3,94,0,0,0,0,0,0,0,0,0,0,0,0,94,2014
Region 4,293,0,0,0,0,0,0,0,0,0,0,0,0,293,2014
Region 5,1278,0,0,0,0,0,0,0,0,0,0,0,0,1278,2014
Region 6,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2014
Region 7,398,0,0,0,0,0,0,0,0,0,0,0,0,398,2014
Region 8,179,0,0,0,0,0,0,0,0,0,0,0,0,179,2014
Region 9,455,0,0,0,0,0,0,0,0,0,0,0,0,455,2014
Region 10,155,0,0,0,0,0,0,0,0,0,0,0,0,155,2014
Total,4069,0,0,0,0,0,0,0,0,0,0,0,0,4069,2014
HQ,486,0,0,0,0,0,0,0,0,0,0,0,0,486,2015
Region 1,238,0,0,0,0,0,0,0,0,0,0,0,0,238,2015
Region 2,738,0,0,0,0,0,0,0,0,0,0,0,0,738,2015
Region 3,221,0,0,0,0,0,0,0,0,0,0,0,0,221,2015
Region 4,297,0,0,0,0,0,0,0,0,0,0,0,0,297,2015
Region 5,1376,0,0,0,0,0,0,0,0,0,0,0,0,1376,2015
Region 6,20,0,0,0,0,0,0,0,0,0,0,0,0,20,2015
Region 7,245,0,0,0,0,0,0,0,0,0,0,0,0,245,2015
Region 8,212,0,0,0,0,0,0,0,0,0,0,0,0,212,2015
Region 9,589,0,0,0,0,0,0,0,0,0,0,0,0,589,2015
Region 10,254,0,0,0,0,0,0,0,0,0,0,0,0,254,2015
Total,4676,0,0,0,0,0,0,0,0,0,0,0,0,4676,2015
