Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-03204,OIP,6/19/14,"Requesting “written proof required by Article 1, Section 7… to establish whether any part of U.S.C. Titles 1-51 are the ‘Law’ on any given subject, rather than the United States Statutes at Large”",Provided relevant information and assistance,,
FOIA-2014-03215,OAG,6/25/14,Records pertaining to loans,Provided relevant information and assistance ,,
FOIA-2014-03225,OIP,6/23/14,"Records of investigations between November 1, 2011 and the present that pertain to allegations of child sexual abuse that occurred on the campus of The Pennsylvania State University.",Referred requester and/or request to more appropriate entity (EOUSA & FBI),,
FOIA-2014-03228,OIP,6/19/14,Records pertaining to a loan,Provided relevant information and assistance ,,
FOIA-2014-03249,OIP,6/23/14,"Records pertaining to Seth Beoku Betts, George Montollio, and Ball State University",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03287,OIP,6/25/14,Records pertaining to FOIA requests made by John Soloman for records on Senator Harry Reid,No Records,,
FOIA-2014-03351,OIP,6/26/14,Copies of documents in Executive Office for Immigration Review file no. A 094-811-793.,Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2014-03367,OIP,6/25/14,Seeking a Drug Enforcement Administration report,Referred requester and/or request to more appropriate entity (DEA),,
FOIA-2014-03372,OIP,6/27/14,"E-mails that contain the words ""Adam,"" ""Goldman,"" ""Adam Goldman,"" ""Washington Post,"" ""washpost,"" ""Wash Post"" or ""newspaper"" linked to the e-mail accounts of Ronald Machen, William Miller, Matt Jones, and Gregg Maisel",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03386,OIP,6/26/14,Records pertaining to USA vs. Mitchell Lee Gibson in the U.S. District Court of Colorado; Case No. 1:14-cr-00142-REB or 14-mj-01039-MJW,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03404,OIP,6/27/14,Records pertaining to an antitrust case,Referred requester and/or request to more appropriate entity (ATR),,
FOIA-2014-03411,OIP,6/27/14,Amount spent by the Department of Justice on recent lawsuits filed against Alamance County (NC) Sheriff Terry Johnson over allegations that his department unlawfully targeted Latinos,Referred requester and/or request to more appropriate entity (CRT),,
FOIA-2014-03425,OIP,6/30/14,"Records between the Executive Office for United States Attorneys (EOUSA), any Assistant United States Attorney (AUSA) or United States Attorney, and any other government entity, including the Federal Bureau of Prisons, concerning electronically monitored telephone conversations between Edmund Boyle and Cathy Carbonaro",Referred requester and/or request to more appropriate entity (EOUSA & BOP),,
