Year,Agency,Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions.1,Number of Full Denials Based on Reasons Other than Exemptions.2,Number of Full Denials Based on Reasons Other than Exemptions.3,Number of Full Denials Based on Reasons Other than Exemptions.4,Number of Full Denials Based on Reasons Other than Exemptions.5,Number of Full Denials Based on Reasons Other than Exemptions.6,Number of Full Denials Based on Reasons Other than Exemptions.7,Number of Full Denials Based on Reasons Other than Exemptions.8,Total
2008,IAF,IAF,1.0,0.0,0.0,3,0,0,0,2,0,0,0,0,6.0
2008,IMLS,IMLS,15.0,18.0,0.0,10,0,0,0,0,1,0,0,0,44.0
2008,MSPB,MSPB,315.0,15.0,0.0,28,1,3,0,1,0,0,4,0,367.0
2008,NARA,NARA,506.0,190.0,25.0,12232,108,27,10,177,21,8,23,145,13472.0
2008,NASA,ARC,15.0,70.0,2.0,4,5,8,1,0,0,0,4,0,109.0
2008,NASA,DFRC,6.0,1.0,0.0,7,1,1,0,0,0,0,0,0,16.0
2008,NASA,GRC,11.0,12.0,7.0,12,4,1,1,1,0,0,0,0,49.0
2008,NASA,GSFC,51.0,66.0,5.0,24,11,13,0,1,0,0,0,0,171.0
2008,NASA,HQS,125.0,9.0,1.0,15,83,7,14,22,2,1,3,0,282.0
2008,NASA,JPL,9.0,6.0,2.0,8,3,6,0,0,0,1,0,0,35.0
2008,NASA,JSC,96.0,50.0,18.0,24,20,4,5,2,4,0,2,6,231.0
2008,NASA,KSC,27.0,38.0,11.0,16,9,9,3,4,7,0,0,20,144.0
2008,NASA,LaRC,8.0,11.0,1.0,2,7,8,0,0,0,0,0,1,38.0
2008,NASA,MSFC,36.0,65.0,4.0,6,4,4,1,1,1,0,0,0,122.0
2008,NASA,NSSC,8.0,1.0,0.0,3,2,1,0,0,0,0,0,0,15.0
2008,NASA,OIG,4.0,16.0,8.0,5,1,2,0,1,0,0,0,0,37.0
2008,NASA,SSC,1.0,8.0,0.0,0,0,0,0,0,0,0,0,0,9.0
2008,NCUA,NCUA,53.0,58.0,7.0,10,0,13,1,0,7,4,0,0,153.0
2008,NEH,NEH,7.0,10.0,1.0,3,0,0,0,0,0,0,0,3,24.0
2008,NIGC,NIGC,23.0,42.0,5.0,23,0,6,5,0,0,0,0,0,104.0
2008,NMB,NMB,11.0,1.0,1.0,3,0,0,0,0,0,0,0,0,16.0
2008,NRPC,NRPC,35.0,28.0,12.0,9,0,13,64,11,35,3,28,2,240.0
2008,NSF,Foundation,32.0,234.0,3.0,5,0,15,4,3,0,14,0,5,315.0
2008,NSF,OIG,4.0,21.0,5.0,4,0,2,0,0,1,0,0,0,37.0
2008,OGE,OGE,8.0,6.0,0.0,24,2,0,0,2,0,0,0,0,42.0
2008,OMB,OMB,48.0,13.0,30.0,48,1,0,0,0,0,2,0,0,142.0
2008,ONDCP,OLC,13.0,9.0,0.0,13,6,3,0,0,0,0,0,0,44.0
2008,OPIC,OPIC,14.0,14.0,2.0,17,0,3,0,0,0,0,0,0,50.0
2008,OPM,OPM,6708.0,98.0,40.0,71,0,108,0,0,0,0,98,0,7123.0
2008,OSHRC,OSHRC,32.0,3.0,0.0,10,0,29,0,0,0,0,0,0,74.0
2008,OSTP,OSTP,6.0,2.0,0.0,8,0,3,0,0,0,0,0,1,20.0
2008,PC,FOIA Office,77.0,12.0,4.0,23,0,2,2,1,0,0,0,0,121.0
2008,PC,OIG,5.0,2.0,4.0,3,0,0,0,0,0,0,0,0,14.0
2008,PRC,PRC,13.0,0.0,0.0,3,0,0,0,0,0,16,0,0,32.0
2008,SBA,SBA,2250.0,132.0,44.0,132,34,17,6,5,3,15,2,0,2640.0
2008,SEC,HQ,1635.0,453.0,612.0,8764,388,3134,196,19,7,15,116,257,15596.0
2008,SSA,SSA,33389.0,328.0,460.0,274,12,10,50,70,0,0,73,0,34666.0
2008,SSS,SSS,55.0,0.0,0.0,0,0,0,0,0,0,0,0,0,55.0
2008,State,DoS,599.0,880.0,719.0,536,237,176,73,269,1002,871,123,47,5532.0
2008,State,OIG,7.0,23.0,3.0,6,4,0,0,0,0,2,0,0,45.0
2008,STB,STB,11.0,3.0,0.0,5,0,5,0,0,0,0,0,0,24.0
2008,Treasury,BEP,39.0,16.0,4.0,12,5,1,5,1,0,0,2,0,85.0
2008,Treasury,BPD,67.0,8.0,0.0,24,12,2,0,3,1,23,1,0,141.0
