Year,Agency,Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year
2009,DOC,EDA,0,0,0,0
2009,DOC,ESA,0,1,1,0
2009,DOC,ITA,0,25,14,11
2009,DOC,MBDA,0,0,0,0
2009,DOC,NIST,0,2,2,0
2009,DOC,NOAA,0,0,0,0
2009,DOC,NTIA,0,0,0,0
2009,DOC,NTIS,0,0,0,0
2009,DOC,OIG,0,0,0,0
2009,DOC,OS,0,6,6,0
2009,DOC,PTO,0,2,2,0
2009,DoD,AF,5,68,48,25
2009,DoD,AFRICOM,0,0,0,0
2009,DoD,ARMY,25,244,229,40
2009,DoD,ASBCA,0,0,0,0
2009,DoD,CENTCOM,5,63,18,50
2009,DoD,DCAA,0,1,1,0
2009,DoD,DCMA,0,2,2,0
2009,DoD,DeCA,0,0,0,0
2009,DoD,DFAS,0,0,0,0
2009,DoD,DIA,265,149,117,297
2009,DoD,DISA,1,6,1,6
2009,DoD,DLA,0,9,9,0
2009,DoD,DoDEA,0,0,0,0
2009,DoD,DoDIG,1,2,1,2
2009,DoD,DSS,0,0,0,0
2009,DoD,DTIC,0,0,0,0
2009,DoD,DTRA,0,4,2,2
2009,DoD,EUCOM,3,13,1,15
2009,DoD,JFCOM,5,18,6,17
2009,DoD,NAVY,99,209,208,100
2009,DoD,NGA,5,5,6,4
2009,DoD,NGB,0,0,0,0
2009,DoD,NORTHCOM,0,0,0,0
2009,DoD,NRO,2,8,7,3
2009,DoD,NSA,41,150,160,31
2009,DoD,OSD/JS,28,147,93,82
2009,DoD,PACOM,5,37,31,11
2009,DoD,SOCOM,22,48,43,27
2009,DoD,SOUTHCOM,3,5,7,1
2009,DoD,STRATCOM,0,0,0,0
2009,DoD,TRANSCOM,35,11,22,24
2009,DoD,TRICARE,0,4,4,0
2009,DOE,BPA,0,0,0,0
2009,DOE,CBFO,0,0,0,0
2009,DOE,CH,0,0,0,0
2009,DOE,EMCBC,0,0,0,0
2009,DOE,GFO,0,0,0,0
2009,DOE,HQ,104,174,192,86
2009,DOE,ID,0,0,0,0
2009,DOE,NETL,0,0,0,0
2009,DOE,NNSA/AL,5,0,5,0
2009,DOE,NR,0,0,0,0
2009,DOE,ORO,0,0,0,0
2009,DOE,OSTI,0,0,0,0
2009,DOE,PNSO,0,0,0,0
