Year,Agency,Component,Description,No. of Times Used,Total
2014,DHS,USSS,United States Secret Service,1,2.0
2014,DNFSB,DNFSB,Defense Nuclear Facilities Safety Board,0,0.0
2014,DOC,AGC/Admin,Assistant General Counsel for Administration,10,16.0
2014,DOC,AGC/Admin,Assistant General Counsel for Administration,5,16.0
2014,DOC,AGC/Admin,Assistant General Counsel for Administration,1,16.0
2014,DoD,AF,United States Department of the Air Force,3,23.0
2014,DoD,AF,United States Department of the Air Force,1,23.0
2014,DoD,AF,United States Department of the Air Force,2,23.0
2014,DoD,AF,United States Department of the Air Force,17,23.0
2014,DoD,ARMY,United States Department of the Army,0,0.0
2014,DoD,ASBCA,Armed Service Board of Contract Appeals,0,0.0
2014,DoD,DCAA,Defense Contract Audit Agency,0,0.0
2014,DoD,DCMA,Defense Contract Management Agency,0,0.0
2014,DoD,DeCA,Defense Commissary Agency,0,0.0
2014,DoD,DFAS,Defense Finance and Accounting Service,0,0.0
2014,DoD,DHA,Defense Health Agency,0,0.0
2014,DoD,DIA,Defense Intelligence Agency,2,4.0
2014,DoD,DIA,Defense Intelligence Agency,2,4.0
2014,DoD,DISA,Defense Information Service Agency,0,0.0
2014,DoD,DLA,Defense Logistic Agency,0,0.0
2014,DoD,DoD IG,DEPARTMENT OF DEFENSE INSPECTOR GENERAL,1,1.0
2014,DoD,DSS,Defense Security Service,0,0.0
2014,DoD,NAVY,United States Department of the Navy,0,0.0
2014,DoD,NGA,National Geospatial Command,0,0.0
2014,DoD,NRO,National Reconnaissance Office,0,0.0
2014,DoD,NSA,National Security Agency,7,20.0
2014,DoD,NSA,National Security Agency,13,20.0
2014,DoD,OSD/JS,Office of the Secretary of Defense/Joint Staff,2,18.0
2014,DoD,OSD/JS,Office of the Secretary of Defense/Joint Staff,16,18.0
2014,DOE,HQ,Headquarters,9,10.0
2014,DOE,HQ,Headquarters,1,10.0
2014,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,8,19.0
2014,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,19.0
2014,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,19.0
2014,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,19.0
2014,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,19.0
2014,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,3,19.0
2014,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,19.0
2014,DOJ,OIP,Office of Information Policy,155,795.0
2014,DOJ,OIP,Office of Information Policy,232,795.0
2014,DOJ,OIP,Office of Information Policy,26,795.0
2014,DOJ,OIP,Office of Information Policy,47,795.0
2014,DOJ,OIP,Office of Information Policy,5,795.0
2014,DOJ,OIP,Office of Information Policy,201,795.0
2014,DOJ,OIP,Office of Information Policy,81,795.0
2014,DOJ,OIP,Office of Information Policy,40,795.0
2014,DOJ,OIP,Office of Information Policy,8,795.0
2014,DOJ,USPC,United States Parole Commission,0,0.0
2014,DOT,FHWA,Federal Highway Administration,2,2.0
2014,DOT,RITA,Research and Innovative Technology Administration,1,1.0
2014,ED,OCTAE,"Office of Career, Technical & Adult Education",0,0.0
2014,ED,OSHS,Office of Safe and Healthy Students,0,0.0
2014,ED,FSA,Federal Student Aid,0,0.0
2014,ED,IES,Institute of Education Scinces,0,0.0
2014,ED,IES-NAGB,Institute of Education Sciences - National Assessment Governing Board,0,0.0
2014,ED,M,Multiple Offices Assigned,0,0.0
2014,ED,OCFO,Office of the Chief Financial Officer,0,0.0
2014,ED,OCFO-CAM,Office of the Chief Financial Officer - Contracts & Acquisitions Mgmt,0,0.0
2014,ED,OCIO,Office of the Chief Information Officer,0,0.0
2014,ED,OCO,Office of Communications and Outreach,0,0.0
2014,ED,OCR,Office for Civil Rights (Headquarters),0,0.0
2014,ED,OCR-1 Boston,OCR Region I - Boston,0,0.0
2014,ED,OCR-2 New York,OCR Region II - New York,0,0.0
2014,ED,OCR-3 Philadelphia,OCR Region III - Philadelphia,0,0.0
2014,ED,OCR-4 Atlanta,OCR Region IV - Atlanta,0,0.0
2014,ED,OCR-5 Chicago,OCR Region V - Chicago,1,1.0
2014,ED,OCR-6 Dallas,OCR Region VI - Dallas,0,0.0
2014,ED,OCR-7 Kansas City,OCR Region VII- Kansas City,0,0.0
2014,ED,OCR-8 Denver,OCR Region VIII - Denver,0,0.0
2014,ED,OCR-9 San Francisco,OCR Region IX - San Francisco,0,0.0
2014,ED,OCR-10 Seattle,OCR Region X - Seattle,1,1.0
2014,ED,OCR-12 Cleveland,OCR Region XII - Cleveland,0,0.0
2014,ED,OCR-Metro D.C.,OCR District of Columbia,0,0.0
2014,ED,ODS,Office of the Deputy Secretary,0,0.0
2014,ED,OESE,Office of Elementary and Secondary Education,0,0.0
2014,ED,OGC,Office of the General Counsel,0,0.0
2014,ED,OIG,Office of Inspector General,0,0.0
2014,ED,OII,Office of Innovation and Improvement,0,0.0
2014,ED,OLCA,Office of Legislation and Congressional Affairs,0,0.0
2014,ED,OM,Office of Management,0,0.0
2014,ED,OM-PIRMS,"OM - Privacy, Information, Record Management Services",1,1.0
2014,ED,OPE,Office of Postsecondary Education,0,0.0
2014,ED,OPEPD,"Office of Planning, Evaluation, and Policy Development",0,0.0
2014,ED,OS,Office of the Secretary,0,0.0
2014,ED,OSERS,Officer of Special Education and Rehabilitative Services,0,0.0
2014,ED,OUS,Office of the Under Secretary,0,0.0
2014,EEOC,OLC/HDQ,Office of Legal Counsel/Headquarters,0,0.0
2014,EEOC,OLC/HDQ,Office of Legal Counsel/Headquarters,0,0.0
2014,Ex-Im Bank,HQ,Headquarters,0,0.0
2014,FCA,FCA,Farm Credit Administration,0,0.0
2014,FCC,FCC,Federal Communications Commission,13,13.0
2014,FCSIC,FCSIC,Farm Credit System Insurance Corporation,0,0.0
2014,FEC,FEC,Federal Election Commission,0,0.0
2014,FERC,FERC,Federal Energy Regulatory Commission,1,2.0
2014,FERC,FERC,Federal Energy Regulatory Commission,1,2.0
2014,FFIEC,FFIEC,Federal Financial Institutions Council,0,0.0
2014,FHFA,FHFA-HQ,FHFA Headquarters,0,0.0
2014,FHFA,FHFA-OIG,Federal Housing Finance Agency - Office of the Inspector General,0,0.0
2014,FLRA,OGC,Office of the General Counsel,0,0.0
2014,FMCS,FMCS,Federal Mediation and Conciliation Service,1,1.0
2014,FMSHRC,FMSHRC,Federal Mine Safety and Health Review Commission,0,0.0
2014,FOMC,FOMC,Federal Open Market Committee,0,0.0
2014,FRB,FRB,Board of Governors of the Federal Reserve System,0,0.0
2014,FRTIB,FRTIB,Federal Retirement Thrift Investment Board,0,0.0
2014,FTC,FTC,Federal Trade Commission,1,1.0
2014,GSA,GSA,U. S. General Services  Administration,0,0.0
2014,HHS,CMS,Centers for Medicare & Medicaid Services,1,1.0
2014,HHS,OS,Office of the Secretary,8,35.0
2014,HHS,OS,Office of the Secretary,26,35.0
2014,HHS,OS,Office of the Secretary,1,35.0
2014,HUD,HQ,Headquarters,0,0.0
2014,HUD,OIG,Office of the Inspector General,0,0.0
2014,HUD,R01,Region 1 - Boston,0,0.0
2014,HUD,R02,Region 2 - New York,0,0.0
2014,HUD,R03,Region 3 - Philadelphia,0,0.0
2014,HUD,R04,Region 4 - Atlanta,0,0.0
2014,HUD,R05,Region 5 - Chicago,0,0.0
2014,HUD,R06,Region 6 - Fort Worth,0,0.0
2014,HUD,R07,Region 7 - Kansas,0,0.0
2014,HUD,R08,Region 8 - Denver,0,0.0
2014,HUD,R09,Region 9 - San Fracisco,0,0.0
2014,HUD,R0X,Region 10 -Seattle,0,0.0
2014,IAF,IAF,Inter-American Foundation,0,0.0
2014,IMLS,IMLS,Institute of Museum and Library Services,0,0.0
2014,LSC,OLA,Office of Legal Affairs,0,0.0
2014,LSC,OIG,Office of Inspector General,0,0.0
2014,MCC,MCC,Millennium Challenge Corporation,0,0.0
2014,MSPB,MSPB,United States Merit Systems Protection Board,0,0.0
2014,NARA,NARA,National Archives and Records Administration,1,14.0
2014,NARA,NARA,National Archives and Records Administration,9,14.0
2014,NARA,NARA,National Archives and Records Administration,1,14.0
2014,NARA,NARA,National Archives and Records Administration,1,14.0
2014,NARA,NARA,National Archives and Records Administration,2,14.0
2014,NCPC,NCPC,National Capital Planning Commission,0,0.0
2014,NCUA,NCUA,National Credit Union Administration,0,0.0
2014,NEA,NEA,National Endowment for the Arts,0,0.0
2014,NEH,NEH,National Endowment for the Humanities,0,0.0
2014,NIGC,NIGC,National Indian Gaming Commision,0,0.0
2014,NLRB,NLRB,National Labor Relations Board,0,0.0
2014,NMB,NMB,National Mediation Board,0,0.0
2014,NRPC,NRPC,AMTRAK (National Railroad Passenger Corporation),0,0.0
2014,NSF,OGC,Office of General Counsel,0,0.0
2014,NSF,OIG,Office of Inspector General,0,0.0
2014,NTSB,NTSB,National Transportation Safety Board,0,0.0
2014,ODNI,ODNI,Office of the Director of National Intelligence,0,0.0
2014,OGE,OGE,United States Office of Government Ethics,0,0.0
2014,OMB,OMB,Office of Management and Budget,0,0.0
2014,ONDCP,ONDCP,Office of National Drug Control Policy,0,0.0
2014,ONHIR,ONHIR,Office of Navajo and Hopi Indian Relocation,0,0.0
2014,OPIC,OPIC,Overseas Private Investment Corporation,0,0.0
2014,OPM,OPM,United States Office of Personnel Management,2,2.0
2014,OSC,OSC,U.S. Office of Special Counsel,0,0.0
2014,OSHRC,OSHRC,Occupational Safety and Health Review Commission,0,0.0
2014,OSTP,OSTP,Office of Science and Technology Policy,0,0.0
2014,PBGC,PBGC,Pension Benefit Guaranty Corporation,0,0.0
2014,PC,FOIA Office,FOIA/Privacy Act Office,1,1.0
2014,PCLOB,PCLOB,Privacy and Civil Liberties Oversight Board,0,0.0
2014,PRC,PRC,Postal Regulatory Commission,0,0.0
2014,RATB,RATB,Recovery Accountability and Transparency Board,0,0.0
2014,SBA,SBA,United States Small Business Administration,0,0.0
2014,SEC,SEC,United States Securities and Exchange Commission,6,9.0
2014,SEC,SEC,United States Securities and Exchange Commission,3,9.0
2014,SIGAR,SIGAR,Special Inspector General for Afghanistan Reconstruction,0,0.0
2014,SSA,SSA,Social Security Administration,0,0.0
2014,SSS,SSS,Selective Service System,0,0.0
2014,State,DoS,United States Department of State,3,16.0
2014,State,DoS,United States Department of State,2,16.0
2014,State,DoS,United States Department of State,3,16.0
2014,State,DoS,United States Department of State,8,16.0
2014,STB,STB,Surface Transportation Board,0,0.0
2014,Treasury,BEP,Bureau of Engraving and Printing,0,0.0
2014,Treasury,DO,Departmental Offices,0,0.0
2014,Treasury,FinCEN,Financial Crimes Enforcement Network,0,0.0
2014,Treasury,IRS,Internal Revenue Service,0,0.0
2014,Treasury,MINT,United States Mint,0,0.0
2014,Treasury,OCC,Office of the Comptroller of the Currency,2,2.0
2014,Treasury,TIGTA,Treasury Inspector General for Tax Administration,0,0.0
2014,Treasury,TTB,Alcohol and Tobacco Tax and Trade Bureau,0,0.0
2014,Treasury,Fiscal Service,Bureau of the Fiscal Service,0,0.0
2014,TVA,TVA,Tennessee Valley Authority,0,0.0
2014,U.S. CPSC,U.S. CPSC,United States Consumer Product Safety Commission,0,0.0
2014,U.S. DOL,ADJ BDS,"Adjudicatory Boards (ARB, BRB, ECAB)",1,1.0
2014,U.S. DOL,ALJ,Administrative Law Judges,0,0.0
2014,U.S. DOL,ASP,Office of the Assistant Secretary for Policy,0,0.0
2014,U.S. DOL,BLS,Bureau of Labor Statistics,0,0.0
2014,U.S. DOL,CFO,Office of the Chief Financial Officer,0,0.0
2014,U.S. DOL,EBSA,Employee Benefits Security Administration,3,3.0
2014,U.S. DOL,ETA,Employment and Training Administration,2,3.0
2014,U.S. DOL,ETA,Employment and Training Administration,1,3.0
2014,U.S. DOL,EXEC SEC,Executive Secretariat,0,0.0
2014,U.S. DOL,ILAB,Bureau of International Labor Affairs,0,0.0
2014,U.S. DOL,MSHA,Mine Safety and Health Administration,0,0.0
2014,U.S. DOL,OASAM,Office of the Assistant Secretary for Administration and Management,3,3.0
2014,U.S. DOL,OCIA,Office of Congressional and Intergovernmental Affairs,0,0.0
2014,U.S. DOL,ODEP,Office of Disability Employment Policy,0,0.0
2014,U.S. DOL,OFCCP,Office of Federal Contractor Compliance Programs,0,0.0
2014,U.S. DOL,OIG,Office of the Inspector General,0,0.0
2014,U.S. DOL,OLMS,Office of Labor Management Standards,0,0.0
2014,U.S. DOL,OPA,Office of Public Affairs,0,0.0
2014,U.S. DOL,OSEC,Office of the Secretary,0,0.0
2014,U.S. DOL,OSHA,Occupational Safety and Health Administration,1,3.0
2014,U.S. DOL,OSHA,Occupational Safety and Health Administration,1,3.0
2014,U.S. DOL,OSHA,Occupational Safety and Health Administration,1,3.0
2014,U.S. DOL,OWCP,Office of Workers Compensation Programs,1,76.0
2014,U.S. DOL,OWCP,Office of Workers Compensation Programs,2,76.0
2014,U.S. DOL,OWCP,Office of Workers Compensation Programs,73,76.0
2014,U.S. DOL,SOL,Office of the Solicitor,1,1.0
2014,U.S. DOL,VETS,Veterans' Employment and Training Service,0,0.0
2014,U.S. DOL,WB,Women's Bureau,0,0.0
2014,U.S. DOL,WHD,Wage and Hour Division,1,2.0
2014,U.S. DOL,WHD,Wage and Hour Division,1,2.0
2014,US ADF,US ADF,United States African Development Foundation,0,0.0
2014,US RRB,OIG,Office of Inspector General,0,0.0
2014,US RRB,RRB,Railroad Retirement Board,0,0.0
2014,USAID,USAID,United States Agency for International Development,0,0.0
2014,USCCR,USCCR,United States Commission on Civil Rights,0,0.0
2014,USDA,AMS,Agricultural Marketing Service,0,0.0
2014,USDA,APHIS,Animal and Plant Health Inspection Service,0,0.0
2014,USDA,ASCR,Office of Civil Rights,0,0.0
2014,USDA,FAS,Foreign Agricultural Service,0,0.0
2014,USDA,FNCS,Food and Nutrition Consumer Service,0,0.0
2014,USDA,FS,Forest Service,0,0.0
2014,USDA,FSA,Farm Service Agency,0,0.0
2014,USDA,FSIS,Food Safety and Inspection Service,0,0.0
2014,USDA,GIPSA,"Grain Inspection, Packers and Stockyards Administration",0,0.0
2014,USDA,NAD,National Appeals Division,0,0.0
2014,USDA,NRCS,Natural Resources Conservation Service,0,0.0
2014,USDA,OBPA,Office of Budget and Program Analysis,0,0.0
2014,USDA,OCFO,Office of the Chief Financial Officer,0,0.0
2014,USDA,OGC,Office of General Council,0,0.0
2014,USDA,OIG,Office of the Inspector General,0,0.0
2014,USDA,OSEC/OCIO/DM,Office of the Secretary/Office of the Chief Information Officer/Departmental Management,0,0.0
2014,USDA,RD,Rural Development,0,0.0
2014,USDA,REE,"Research, Education, and Economics",0,0.0
2014,USDA,RMA,Risk Management Agency,0,0.0
2014,USIBWC,USIBWC,"United States Section, International Boundary and Water Commission",0,0.0
2014,USITC,USITC,United States International Trade Commission,0,0.0
2014,USNRC,USNRC,United States Nuclear Regulatory Commission,8,8.0
2014,USPS,OIG,Office of Inspector General for the USPS,0,0.0
2014,USPS,PS & PIS,USPS General Counsel,0,0.0
2014,USTDA,USTDA,U.S. Trade and Development Agency,0,0.0
2014,USTR,USTR,OFFICE OF THE U.S. TRADE REPRESENTATIVE,0,0.0
2014,VA,GC,General Counsel,27,27.0
2015,ABMC,ABMC,American Battle Monuments Commission,0,0.0
2015,ACUS,ACUS,Administrative Conference of the United States,0,0.0
2015,AFRH,AFRH,Armed Forces Retirement Home,0,0.0
2015,BBG,BBG,Broadcasting Board of Governors,0,0.0
2015,CEQ,CEQ,Council on Environmental Quality,0,0.0
2015,CFPB,CFPB,Consumer Financial Protection Bureau,0,0.0
2015,CFTC,CFTC,Commodity Futures Trading Commission,0,0.0
2015,CIA,CIA,Central Intelligence Agency,6,16.0
2015,CIA,CIA,Central Intelligence Agency,9,16.0
2015,CIA,CIA,Central Intelligence Agency,1,16.0
2015,CIGIE,CIGIE,Council of the Inspectors General on Integrity and Efficiency,0,0.0
2015,CNCS,CNCS,Corporation for National and Community Service,0,0.0
2015,CO,CO,United States Copyright Office,0,0.0
2015,CPPBSD,CPPBSD,Committee for Purchase From People Who Are Blind or Severely Disabled,0,0.0
2015,CSB,CSB,Chemical Safety and Hazard Investigation Board,0,0.0
2015,CSOSA,CSOSA,Court Services and Offender Supervision Agency,0,0.0
2015,DHS,CBP,United States Customs and Border Protection,61,61.0
2015,DHS,FEMA,Federal Emergency Management Agency,0,0.0
2015,DHS,FLETC,Federal Law Enforcement Training Center,0,0.0
2015,DHS,ICE,Immigration and Customs Enforcement,0,0.0
2015,DHS,OGC,Office of the General Counsel,1,19.0
2015,DHS,OGC,Office of the General Counsel,1,19.0
2015,DHS,OGC,Office of the General Counsel,1,19.0
2015,DHS,OGC,Office of the General Counsel,11,19.0
2015,DHS,OGC,Office of the General Counsel,5,19.0
2015,DHS,OIG,Office of the Inspector General,2,4.0
2015,DHS,OIG,Office of the Inspector General,2,4.0
2015,DHS,TSA,Transportation Security Administration,1,6.0
2015,DHS,TSA,Transportation Security Administration,5,6.0
2015,DHS,USCG,United States Coast Guard,0,0.0
2015,DHS,USCIS,United States Citizenship and Immigration Services,0,0.0
2015,DHS,USSS,United States Secret Service,0,0.0
2015,DNFSB,DNFSB,Defense Nuclear Facilities Safety Board,0,0.0
2015,DOC,OIG,Office of Inspector General,0,0.0
2015,DOC,PTO,United States Patent and Trademark Office,0,0.0
2015,DOC,AGC/Admin,Assistant General Counsel for Administration,5,5.0
2015,DoD,AF,United States Department of the Air Force,2,10.0
2015,DoD,AF,United States Department of the Air Force,5,10.0
2015,DoD,AF,United States Department of the Air Force,3,10.0
2015,DoD,ARMY,United States Department of the Army,0,0.0
2015,DoD,ASBCA,Armed Service Board of Contract Appeals,0,0.0
2015,DoD,DCAA,Defense Contract Audit Agency,0,0.0
2015,DoD,DCMA,Defense Contract Management Agency,0,0.0
2015,DoD,DeCA,Defense Commissary Agency,0,0.0
2015,DoD,DFAS,Defense Finance and Accounting Service,0,0.0
2015,DoD,DHA,Defense Health Agency,0,0.0
2015,DoD,DIA,Defense Intelligence Agency,0,0.0
2015,DoD,DISA,Defense Information Service Agency,0,0.0
2015,DoD,DLA,Defense Logistic Agency,1,1.0
2015,DoD,DoD IG,DEPARTMENT OF DEFENSE INSPECTOR GENERAL,2,4.0
2015,DoD,DoD IG,DEPARTMENT OF DEFENSE INSPECTOR GENERAL,1,4.0
2015,DoD,DoD IG,DEPARTMENT OF DEFENSE INSPECTOR GENERAL,1,4.0
2015,DoD,DSS,Defense Security Service,0,0.0
2015,DoD,DTRA,Defense Technology and Research Agency,0,0.0
2015,DoD,NAVY,United States Department of the Navy,6,89.0
2015,DoD,NAVY,United States Department of the Navy,83,89.0
2015,DoD,NGA,National Geospatial Command,0,0.0
2015,DoD,NRO,National Reconnaissance Office,0,0.0
2015,DoD,NSA,National Security Agency,2,2.0
2015,DoD,OSD/JS,Office of the Secretary of Defense/Joint Staff,5,5.0
2015,DOE,HQ,Headquarters,5,6.0
2015,DOE,HQ,Headquarters,1,6.0
2015,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,45.0
2015,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,45.0
2015,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,12,45.0
2015,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,45.0
2015,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,45.0
2015,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,10,45.0
2015,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,10,45.0
2015,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,6,45.0
2015,DOI,FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,45.0
2015,DOJ,OIP,Office of Information Policy,348,1109.0
2015,DOJ,OIP,Office of Information Policy,19,1109.0
2015,DOJ,OIP,Office of Information Policy,56,1109.0
2015,DOJ,OIP,Office of Information Policy,155,1109.0
2015,DOJ,OIP,Office of Information Policy,74,1109.0
2015,DOJ,OIP,Office of Information Policy,409,1109.0
2015,DOJ,OIP,Office of Information Policy,1,1109.0
2015,DOJ,OIP,Office of Information Policy,44,1109.0
2015,DOJ,OIP,Office of Information Policy,3,1109.0
2015,DOJ,USPC,United States Parole Commission,0,0.0
2015,DOT,FAA,Federal Aviation Administration,0,0.0
2015,DOT,FHWA,Federal Highway Administration,1,1.0
2015,DOT,FMCSA,Federal Motor Carrier Safety Administration,0,0.0
2015,DOT,FRA,Federal Railroad Administration,0,0.0
2015,DOT,FTA,Federal Transit Administration,0,0.0
2015,DOT,MARAD,Maritime Administration,0,0.0
2015,DOT,NHTSA,National Highway Traffic Safety Administration,0,0.0
2015,DOT,OIG,Office of Inspector General,0,0.0
2015,DOT,OST,Office of the Secretary,0,0.0
2015,DOT,PHMSA,Pipeline and Hazardous Materials Safety Administration,0,0.0
2015,DOT,RITA,Research and Innovative Technology Administration,0,0.0
2015,DOT,SLSDC,Saint Lawrence Seaway Development Corporation,0,0.0
2015,ED,OCTAE,"Office of Career, Technical & Adult Education",0,0.0
2015,ED,OSHS,Office of Safe and Healthy Students,0,0.0
2015,ED,OM-OCPO,OM - Office of the Chief Privacy Officer,0,0.0
2015,ED,FSA,Federal Student Aid,0,0.0
2015,ED,IES,Institute of Education Scinces,0,0.0
2015,ED,IES-NAGB,Institute of Education Sciences - National Assessment Governing Board,0,0.0
2015,ED,M,Multiple Offices Assigned,0,0.0
2015,ED,OCFO,Office of the Chief Financial Officer,0,0.0
2015,ED,OCFO-CAM,Office of the Chief Financial Officer - Contracts & Acquisitions Mgmt,0,0.0
2015,ED,OCIO,Office of the Chief Information Officer,0,0.0
2015,ED,OCO,Office of Communications and Outreach,0,0.0
2015,ED,OCR,Office for Civil Rights (Headquarters),0,0.0
2015,ED,OCR-1 Boston,OCR Region I - Boston,0,0.0
2015,ED,OCR-2 New York,OCR Region II - New York,0,0.0
2015,ED,OCR-3 Philadelphia,OCR Region III - Philadelphia,0,0.0
2015,ED,OCR-4 Atlanta,OCR Region IV - Atlanta,0,0.0
2015,ED,OCR-5 Chicago,OCR Region V - Chicago,0,0.0
2015,ED,OCR-6 Dallas,OCR Region VI - Dallas,0,0.0
2015,ED,OCR-7 Kansas City,OCR Region VII- Kansas City,0,0.0
2015,ED,OCR-8 Denver,OCR Region VIII - Denver,0,0.0
2015,ED,OCR-9 San Francisco,OCR Region IX - San Francisco,0,0.0
2015,ED,OCR-10 Seattle,OCR Region X - Seattle,0,0.0
2015,ED,OCR-12 Cleveland,OCR Region XII - Cleveland,0,0.0
2015,ED,OCR-Metro D.C.,OCR District of Columbia,0,0.0
2015,ED,ODS,Office of the Deputy Secretary,0,0.0
2015,ED,OESE,Office of Elementary and Secondary Education,0,0.0
2015,ED,OGC,Office of the General Counsel,0,0.0
2015,ED,OIG,Office of Inspector General,0,0.0
2015,ED,OII,Office of Innovation and Improvement,0,0.0
2015,ED,OLCA,Office of Legislation and Congressional Affairs,0,0.0
2015,ED,OM,Office of Management,0,0.0
2015,ED,OPE,Office of Postsecondary Education,0,0.0
2015,ED,OPEPD,"Office of Planning, Evaluation, and Policy Development",0,0.0
2015,ED,OS,Office of the Secretary,0,0.0
2015,ED,OSERS,Officer of Special Education and Rehabilitative Services,0,0.0
2015,ED,OUS,Office of the Under Secretary,0,0.0
2015,EEOC,OLC/HDQ,Office of Legal Counsel/Headquarters,2,2.0
2015,EPA,HQ,Headquarters,1,18.0
2015,EPA,HQ,Headquarters,2,18.0
2015,EPA,HQ,Headquarters,3,18.0
2015,EPA,HQ,Headquarters,11,18.0
2015,EPA,HQ,Headquarters,1,18.0
2015,Ex-Im Bank,HQ,Headquarters,0,0.0
2015,FCA,FCA,Farm Credit Administration,0,0.0
2015,FCC,FCC,Federal Communications Commission,1,1.0
2015,FCSIC,FCSIC,Farm Credit System Insurance Corporation,0,0.0
2015,FDIC,FDIC,Federal Deposit Insurance Corporation,0,0.0
2015,FEC,FEC,Federal Election Commission,0,0.0
2015,FERC,FERC,Federal Energy Regulatory Commission,1,1.0
2015,FFIEC,FFIEC,Federal Financial Institutions Council,0,0.0
2015,FHFA,FHFA-HQ,FHFA Headquarters,0,0.0
2015,FHFA,FHFA-OIG,Federal Housing Finance Agency - Office of the Inspector General,0,0.0
2015,FLRA,FSIP,Federal Service Impasses Panel,0,0.0
2015,FLRA,Authority,"Authority Member, Administrative Law Judges & Solicitor",0,0.0
2015,FLRA,IG,Inspector General,0,0.0
2015,FLRA,OGC,Office of the General Counsel,0,0.0
2015,FLRA,ATRO,Atlanta Regional Office,0,0.0
2015,FLRA,BORO,Boston Regional Office,0,0.0
2015,FLRA,CHRO,Chicago Regional Office,0,0.0
2015,FLRA,DARO,Dallas Regional Office,0,0.0
2015,FLRA,DERO,Denver Regional Office,0,0.0
2015,FLRA,SFRO,San Francisco Regional Office,0,0.0
2015,FLRA,WARO,Washington Regional Office,0,0.0
2015,FMC,FMC,Federal Maritime Commission,0,0.0
2015,FMCS,FMCS,Federal Mediation and Conciliation Service,0,0.0
2015,FMSHRC,FMSHRC,Federal Mine Safety and Health Review Commission,0,0.0
2015,FOMC,FOMC,Federal Open Market Committee,0,0.0
2015,FRB,FRB,Board of Governors of the Federal Reserve System,1,1.0
2015,FRTIB,FRTIB,Federal Retirement Thrift Investment Board,0,0.0
2015,FTC,FTC,Federal Trade Commission,4,7.0
2015,FTC,FTC,Federal Trade Commission,2,7.0
2015,FTC,FTC,Federal Trade Commission,1,7.0
2015,GSA,GSA,U. S. General Services  Administration,0,0.0
2015,HHS,CMS,Centers for Medicare & Medicaid Services,0,0.0
2015,HHS,OS,Office of the Secretary,0,0.0
2015,HUD,HQ,Headquarters,3,3.0
2015,HUD,OIG,Office of the Inspector General,0,0.0
2015,HUD,R01,Region 1 - Boston,0,0.0
2015,HUD,R02,Region 2 - New York,0,0.0
2015,HUD,R03,Region 3 - Philadelphia,0,0.0
2015,HUD,R04,Region 4 - Atlanta,0,0.0
2015,HUD,R05,Region 5 - Chicago,0,0.0
2015,HUD,R06,Region 6 - Fort Worth,0,0.0
2015,HUD,R07,Region 7 - Kansas,0,0.0
2015,HUD,R08,Region 8 - Denver,0,0.0
2015,HUD,R09,Region 9 - San Fracisco,1,1.0
2015,HUD,R0X,Region 10 -Seattle,0,0.0
2015,IAF,IAF,Inter-American Foundation,0,0.0
2015,IMLS,IMLS,Institute of Museum and Library Services,0,0.0
2015,LSC,OLA,Office of Legal Affairs,1,1.0
2015,LSC,OIG,Office of Inspector General,0,0.0
2015,MCC,MCC,Millennium Challenge Corporation,0,0.0
2015,MSPB,MSPB,United States Merit Systems Protection Board,0,0.0
2015,NARA,NARA,National Archives and Records Administration,2,2.0
2015,NASA,OGC,Office of General Counsel (International Law Division):  (Appeals and Litigation Only),0,0.0
2015,NASA,OIG,Office of the Inspector General,0,0.0
2015,NCPC,NCPC,National Capital Planning Commission,0,0.0
2015,NCUA,NCUA,National Credit Union Administration,0,0.0
2015,NEA,NEA,National Endowment for the Arts,0,0.0
2015,NEH,NEH,National Endowment for the Humanities,0,0.0
2015,NIGC,NIGC,National Indian Gaming Commision,1,1.0
2015,NLRB,NLRB,National Labor Relations Board,1,2.0
2015,NLRB,NLRB,National Labor Relations Board,1,2.0
2015,NMB,NMB,National Mediation Board,0,0.0
2015,NRPC,NRPC,AMTRAK (National Railroad Passenger Corporation),0,0.0
2015,NSF,OGC,Office of General Counsel,1,1.0
2015,NSF,OIG,Office of Inspector General,0,0.0
2015,NTSB,NTSB,National Transportation Safety Board,0,0.0
2015,ODNI,ODNI,Office of the Director of National Intelligence,1,1.0
2015,OGE,OGE,United States Office of Government Ethics,0,0.0
