Year,Agency,Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
2011,EEOC,HOUSTON,89,1127,1130,86
2011,EEOC,INDIANAPOLIS,127,2399,2421,105
2011,EEOC,LOS ANGELES,0,967,933,34
2011,EEOC,MEMPHIS,37,817,751,103
2011,EEOC,MIAMI,67,2187,2152,102
2011,EEOC,NEW YORK,184,703,654,233
2011,EEOC,OLC/HDQ,40,395,411,24
2011,EEOC,PHILADELPHIA,138,1106,1150,94
2011,EEOC,PHOENIX,19,793,759,53
2011,EEOC,SAN FRANCISCO,41,756,756,41
2011,EEOC,ST. LOUIS,74,1093,1120,47
2011,EEOC,WFO,11,189,170,30
2011,EPA,HQ,708,2311,2360,659
2011,EPA,Region 1,28,221,220,29
2011,EPA,Region 2,503,1483,1724,262
2011,EPA,Region 3,137,1234,1267,104
2011,EPA,Region 4,90,807,813,84
2011,EPA,Region 5,102,1415,1405,112
2011,EPA,Region 6,78,614,578,114
2011,EPA,Region 7,44,636,642,38
2011,EPA,Region 8,26,339,334,31
2011,EPA,Region 9,51,619,642,28
2011,EPA,Region 10,68,444,450,62
2011,Ex-Im Bank,HQ,29,100,100,29
2011,FCA,FCA,1,36,35,2
2011,FCC,FCC,52,590,594,48
2011,FCSIC,FCSIC,0,11,10,1
2011,FDIC,FDIC,207,1250,1409,48
2011,FEC,FEC,13,83,82,14
2011,FERC,FERC,16,81,92,5
2011,FFIEC,FFIEC,0,24,24,0
2011,FHFA,FHFA FOIA,16,113,111,18
2011,FHFA,FHFA-OIG,0,12,12,0
2011,FLRA,FSIP,0,9,9,0
2011,FLRA,Authority,0,45,44,1
2011,FLRA,IG,1,5,6,0
2011,FLRA,OGC,0,9,9,0
2011,FLRA,ATRO,0,9,9,0
2011,FLRA,BORO,0,2,2,0
2011,FLRA,CHRO,0,1,1,0
2011,FLRA,DARO,0,2,2,0
2011,FLRA,DERO,0,0,0,0
2011,FLRA,SFRO,0,3,3,0
2011,FLRA,WARO,0,1,1,0
2011,FMC,FMC,20,39,23,36
2011,FMCS,FMCS,1,110,111,0
2011,FMSHRC,FMSHRC,1,185,182,4
2011,FOMC,FOMC,1,35,35,1
2011,FRB,FRB,70,823,848,45
2011,FRTIB,FRTIB,2,24,26,0
2011,FTC,FTC,32,1523,1527,28
2011,GSA,GSA,222,1564,1677,109
2011,HHS,ACF,317,296,416,197
2011,HHS,AOA,0,16,16,0
2011,HHS,CMS,5233,52116,53328,4021
2011,HHS,OIG,18,729,737,10
2011,HHS,AHRQ,7,77,81,3
2011,HHS,CDC,323,1128,1088,363
2011,HHS,FDA,4691,9301,10602,3390
2011,HHS,HRSA,31,332,330,33
2011,HHS,IHS,35,100,104,31
2011,HHS,NIH,85,1198,1204,79
2011,HHS,SAMHSA,154,166,152,168
2011,HHS,OS,560,1396,1592,364
2011,HHS,OASH,158,576,529,205
2011,HUD,HQ,145,1042,1080,107
2011,HUD,OIG,17,129,132,14
2011,HUD,R01,3,100,102,1
2011,HUD,R02,0,156,155,1
2011,HUD,R03,4,182,185,1
2011,HUD,R04,5,393,398,0
2011,HUD,R05,0,157,157,0
2011,HUD,R06,0,221,221,0
2011,HUD,R07,0,49,47,2
2011,HUD,R08,0,107,107,0
2011,HUD,R09,0,210,208,2
2011,HUD,R0X,8,82,90,0
2011,IAF,IAF,1,16,16,1
2011,IMLS,IMLS,3,40,36,7
2011,LSC,LSC,32,34,66,0
2011,MCC,MCC,0,26,26,0
2011,MSPB,MSPB,4,121,113,12
2011,NARA,NARA,7064,18129,17182,8011
2011,NASA,ARC,10,59,59,10
2011,NASA,DFRC,0,33,28,5
2011,NASA,GRC,3,33,32,4
2011,NASA,GSFC,26,171,183,14
2011,NASA,HQ,83,201,261,23
2011,NASA,JPL,0,51,51,0
2011,NASA,JSC,24,210,226,8
2011,NASA,KSC,10,75,81,4
2011,NASA,LaRC,10,36,45,1
2011,NASA,MSFC,7,91,97,1
2011,NASA,NSSC,2,18,19,1
2011,NASA,OGC,0,0,0,0
2011,NASA,OIG,1,34,33,2
2011,NASA,SSC,2,14,16,0
2011,NCPC,NCPC,0,17,17,0
2011,NCUA,NCUA,10,165,160,15
2011,NEA,NEA,11,139,140,10
2011,NEH,NEH,4,48,49,3
2011,NIGC,NIGC,4,76,66,14
2011,NLRB,NLRB,80,5875,5860,95
2011,NMB,NMB,1,29,25,5
2011,NRPC,NRPC,54,172,171,55
2011,NSF,OGC,51,408,401,58
2011,NSF,OIG,0,118,118,0
2011,NTSB,NTSB,92,293,304,81
2011,ODNI,ODNI,136,387,405,118
2011,OGE,OGE,6,69,72,3
2011,OMB,OMB,21,188,173,36
2011,ONDCP,ONDCP,0,32,32,0
2011,ONHIR,ONHIR,3,117,120,0
2011,OPIC,OPIC,2,45,47,0
2011,OPM,OPM,372,7844,7643,573
2011,OSC,OSC,6,132,87,51
2011,OSHRC,OSHRC,1,76,76,1
2011,OSTP,OSTP,8,52,56,4
2011,PBGC,PBGC,380,7291,7364,307
2011,PC,FOIA Office,10,159,147,22
2011,PC,OIG,0,23,21,2
2011,PRC,PRC,1,29,30,0
2011,RATB,RATB,0,19,19,0
2011,SBA,SBA,18,3135,3132,21
2011,SEC,SEC,399,11555,11562,392
2011,SIGAR,SIGAR,4,18,20,2
2011,SIGIR,SIGIR,0,14,14,0
2011,SSA,SSA,834,32456,32445,845
2011,SSS,SSS,0,18,18,0
2011,State,DoS,21252,14262,26802,8712
2011,State,OIG,1,36,34,3
2011,STB,STB,1,38,39,0
2011,Treasury,BEP,0,65,59,6
2011,Treasury,BPD,1,187,187,1
2011,Treasury,CFPB,0,18,7,11
2011,Treasury,DO,350,938,999,289
2011,Treasury,FinCEN,1,195,194,2
2011,Treasury,FMS,13,301,290,24
2011,Treasury,IRS,608,12242,12028,822
2011,Treasury,MINT,4,83,81,6
2011,Treasury,OCC,103,1797,1839,61
2011,Treasury,OTS,40,656,696,0
2011,Treasury,TIGTA,23,219,227,15
2011,Treasury,TTB,1,75,76,0
2011,TVA,TVA,13,175,173,15
2011,U.S. CPSC,U.S. CPSC,368,2545,2560,353
2011,U.S. DOL,ADJ BDS,1,28,28,1
2011,U.S. DOL,ALJ,2,183,179,6
2011,U.S. DOL,ASP,25,19,42,2
2011,U.S. DOL,BLS,4,13,17,0
2011,U.S. DOL,CFO,2,18,20,0
2011,U.S. DOL,EBSA,62,1721,1719,64
2011,U.S. DOL,ETA,97,1770,1800,67
2011,U.S. DOL,EXEC SEC,0,6,4,2
2011,U.S. DOL,ILAB,0,17,17,0
2011,U.S. DOL,MSHA,199,2225,2252,172
2011,U.S. DOL,OASAM,83,282,345,20
2011,U.S. DOL,OCIA,1,27,24,4
2011,U.S. DOL,ODEP,0,1,1,0
2011,U.S. DOL,OFCCP,14,396,375,35
2011,U.S. DOL,OIG,9,84,79,14
2011,U.S. DOL,OLMS,7,120,126,1
2011,U.S. DOL,OPA,3,1,3,1
2011,U.S. DOL,OSEC,20,32,51,1
2011,U.S. DOL,OSHA,441,8251,8324,368
2011,U.S. DOL,OWCP,22,380,382,20
2011,U.S. DOL,SOL,27,55,72,10
2011,U.S. DOL,VETS,17,118,129,6
2011,U.S. DOL,WB,0,24,24,0
2011,U.S. DOL,WHD,224,2241,2116,349
2011,US ADF,US ADF,0,9,9,0
2011,US RRB,OIG,0,5,5,0
2011,US RRB,RRB,1,100,100,1
2011,USAID,USAID,302,296,342,256
2011,USCCR,USCCR,14,50,63,1
2011,USDA,AMS,11,121,116,16
2011,USDA,APHIS,264,884,982,166
2011,USDA,ASCR,0,69,67,2
2011,USDA,DM,6,79,80,5
2011,USDA,FAS,4,42,45,1
2011,USDA,FNCS,22,252,239,35
2011,USDA,FS,268,2450,2385,333
2011,USDA,FSA,161,17076,16948,289
2011,USDA,FSIS,299,294,375,218
2011,USDA,GIPSA,4,46,49,1
2011,USDA,NAD,1,8,8,1
2011,USDA,NRCS,3,301,298,6
2011,USDA,OBPA,0,16,16,0
2011,USDA,OCFO,0,37,37,0
2011,USDA,OGC,10,30,28,12
2011,USDA,OIG,8,135,136,7
2011,USDA,OSEC/OCIO,26,89,52,63
2011,USDA,RD,107,859,785,181
2011,USDA,REE,14,165,176,3
2011,USDA,RMA,13,112,117,8
2011,USIBWC,USIBWC,1,24,23,2
2011,USITC,USITC,2,34,33,3
2011,USNRC,USNRC,22,365,320,67
2011,USPS,PS,81,1637,1564,154
2011,USPS,OIG,6,463,451,18
2011,USPS,PIS,9,404,400,13
2011,USTDA,USTDA,19,28,46,1
2011,USTR,USTR,12,59,58,13
2011,VA,Admin,0,9,6,3
2011,VA,BVA,1,12,12,1
2011,VA,C&LA,0,17,15,2
2011,VA,CFM,23,98,95,26
2011,VA,GC,9,42,44,7
2011,VA,HRM,11,15,15,11
2011,VA,IG,1,220,211,10
2011,VA,Mgmt,0,6,4,2
2011,VA,NCA,24,277,285,16
2011,VA,OAL,38,223,252,9
2011,VA,OASHRA,0,10,7,3
2011,VA,OASP&IA,0,4,1,3
2011,VA,ODASB,0,0,0,0
2011,VA,ODASIA,0,2,2,0
2011,VA,ODI,0,1,1,0
2011,VA,OF,2,25,25,2
2011,VA,OIT,15,161,153,23
2011,VA,ORM,0,16,15,1
2011,VA,OSDBU,3,17,13,7
2011,VA,OSP,0,9,8,1
2011,VA,P&P,0,3,1,2
2011,VA,PA,0,2,0,2
2011,VA,SEC,7,25,16,16
2011,VA,VBA,775,7127,7325,577
2011,VA,VHA,864,19334,19385,813
2012,ABMC,ABMC,1,9,9,1
2012,ACUS,ACUS,0,15,15,0
2012,AFRH,AFRH,5,7,12,0
2012,BBG,BBG,2,40,38,4
2012,CEQ,CEQ,21,50,58,13
2012,CFTC,CFTC,41,175,170,46
2012,CIA,CIA,985,3745,3586,1144
2012,CIGIE,CIGIE,4,41,41,4
2012,CNCS,CNCS,4,55,43,16
2012,CO,CO,4,37,38,3
2012,CPPBSD,CPPBSD,1,11,12,0
2012,CSB,CSB,43,29,54,18
2012,CSOSA,CSOSA,159,675,803,31
2012,DHS,CBP,5040,33243,26571,11712
2012,DHS,CRCL,6,84,87,3
2012,DHS,FEMA,547,761,952,356
2012,DHS,FLETC,5,109,102,12
2012,DHS,I&A,23,96,115,4
2012,DHS,ICE,50,24073,21220,2903
2012,DHS,MGMT,12,124,116,20
2012,DHS,NPPD,100,7105,4891,2314
2012,DHS,OGC,5,19,17,7
2012,DHS,OIG,9,180,166,23
2012,DHS,OPS,0,60,60,0
2012,DHS,PLCY,0,26,26,0
2012,DHS,PRIV,37,730,709,58
2012,DHS,S&T,1,36,37,0
2012,DHS,TSA,661,861,949,573
2012,DHS,USCG,471,3700,3256,915
2012,DHS,USCIS,43568,117787,145278,16077
2012,DHS,USSS,608,1595,1343,860
2012,DNFSB,OGC,0,2,2,0
2012,DNFSB,OGM,2,8,10,0
2012,DOC,BIS,0,34,33,1
2012,DOC,Census,29,283,291,21
2012,DOC,EDA,3,32,35,0
2012,DOC,ESA,0,5,5,0
2012,DOC,ITA,33,53,61,25
2012,DOC,MBDA,3,5,7,1
2012,DOC,NIST,19,235,206,48
2012,DOC,NOAA,116,515,465,166
2012,DOC,NTIA,10,94,89,15
2012,DOC,NTIS,0,14,13,1
2012,DOC,OIG,1,50,48,3
2012,DOC,OS,6,232,201,37
2012,DOC,PTO,14,255,247,22
2012,DoD,AF,960,6284,6302,942
2012,DoD,AFRICOM,19,38,31,26
2012,DoD,ARMY,2156,32871,32778,2249
2012,DoD,ASBCA,0,4,4,0
2012,DoD,CENTCOM,192,429,388,233
2012,DoD,DCAA,2,72,69,5
2012,DoD,DCMA,76,187,204,59
2012,DoD,DeCA,18,190,201,7
2012,DoD,DFAS,9,239,240,8
2012,DoD,DIA,1630,1144,1592,1182
2012,DoD,DISA,29,310,312,27
2012,DoD,DLA,62,6325,6266,121
2012,DoD,DoD IG,220,495,428,287
2012,DoD,DoDEA,5,50,50,5
2012,DoD,DSS,1,51,44,8
2012,DoD,DTIC,5,79,81,3
2012,DoD,DTRA,19,137,103,53
2012,DoD,EUCOM,61,72,70,63
2012,DoD,NAVY,2191,12708,13125,1774
2012,DoD,NGA,151,89,154,86
2012,DoD,NGB,21,108,105,24
2012,DoD,NORTHCOM,8,58,45,21
2012,DoD,NRO,47,225,227,45
2012,DoD,NSA,553,1809,1698,664
2012,DoD,OSD/JS,1255,1387,1494,1148
2012,DoD,PACOM,38,45,48,35
2012,DoD,SOCOM,171,179,195,155
2012,DoD,SOUTHCOM,98,195,123,170
2012,DoD,STRATCOM,0,33,32,1
2012,DoD,TRANSCOM,18,111,95,34
2012,DoD,TRICARE,10,154,147,17
2012,DOE,BPA,9,82,80,11
2012,DOE,CBFO,1,13,14,0
2012,DOE,CH,1,76,72,5
2012,DOE,EMCBC,4,46,44,6
2012,DOE,GFO,17,256,268,5
2012,DOE,HQ,290,911,940,261
2012,DOE,ID,3,39,40,2
2012,DOE,NETL,6,47,50,3
2012,DOE,NNSA,200,323,291,232
2012,DOE,NR,0,0,0,0
2012,DOE,NRLFO,3,6,7,2
2012,DOE,ORO,9,255,248,16
2012,DOE,OSTI,1,13,13,1
2012,DOE,ROO,3,95,94,4
2012,DOE,SEPA,0,6,6,0
2012,DOE,SPR,0,6,6,0
2012,DOE,SRO,3,41,41,3
2012,DOE,SWPA,3,7,10,0
2012,DOE,WAPA,0,35,34,1
2012,DOI,BIA,117,1696,1708,105
2012,DOI,BLM,178,979,1003,154
2012,DOI,BOEM,17,83,75,25
2012,DOI,BOR,36,227,254,9
2012,DOI,BSEE,70,174,151,93
2012,DOI,FWS,172,1226,1260,138
2012,DOI,NPS,117,921,906,132
2012,DOI,OIG,81,90,105,66
2012,DOI,OS,134,466,517,83
2012,DOI,OSM,17,66,71,12
2012,DOI,SOL,54,78,70,62
2012,DOI,USGS,17,162,165,14
2012,DOJ,Office of the AG,212,365,381,196
2012,DOJ,Office of the DAG,159,206,218,147
2012,DOJ,Office of the Assoc. AG,47,115,131,31
2012,DOJ,Antitrust,34,137,132,39
2012,DOJ,ATF,115,1326,1226,215
2012,DOJ,BOP,1049,16080,16375,754
2012,DOJ,Civil,53,370,323,100
2012,DOJ,Civil Rights,213,526,534,205
2012,DOJ,COPS,0,92,92,0
2012,DOJ,Criminal,119,999,910,208
2012,DOJ,CRS,0,25,24,1
2012,DOJ,DEA,769,1484,1753,500
2012,DOJ,ENRD,7,83,76,14
2012,DOJ,EOIR,1514,23151,23417,1248
2012,DOJ,EOUSA,979,5226,4824,1381
2012,DOJ,EOUST,5,79,78,6
2012,DOJ,FBI,1395,12783,11882,2296
2012,DOJ,FCSC,1,26,25,2
2012,DOJ,JMD,10,179,157,32
2012,DOJ,NSD,30,223,203,50
2012,DOJ,OCDETF,1,30,28,3
2012,DOJ,OFDT,2,43,44,1
2012,DOJ,OIG,9,273,210,72
2012,DOJ,OIP,31,723,710,44
2012,DOJ,OIPL,3,19,22,0
2012,DOJ,OJP,40,362,359,43
2012,DOJ,OLA,57,102,97,62
2012,DOJ,OLC,36,130,140,26
2012,DOJ,OLP,12,107,107,12
2012,DOJ,OPR,24,108,72,60
2012,DOJ,OSG,15,114,106,23
2012,DOJ,OVW,2,79,71,10
2012,DOJ,Pardon Attorney,0,129,127,2
2012,DOJ,Public Affairs,15,49,41,23
2012,DOJ,PRAO,0,32,30,2
2012,DOJ,TAX,1,154,151,4
2012,DOJ,USMS,76,2800,2704,172
2012,DOJ,USNCB,10,170,176,4
2012,DOJ,USPC,30,557,575,12
2012,DOT,FAA,800,6834,6899,735
2012,DOT,FHWA,74,517,531,60
2012,DOT,FMCSA,355,1945,1921,379
2012,DOT,FRA,63,337,342,58
2012,DOT,FTA,18,323,324,17
2012,DOT,MARAD,91,102,126,67
2012,DOT,NHTSA,29,231,200,60
2012,DOT,OIG,15,99,98,16
2012,DOT,OST,37,340,326,51
2012,DOT,PHMSA,38,148,153,33
2012,DOT,RITA,1,48,46,3
2012,DOT,SLSDC,0,22,22,0
2012,ED,FSA,35,335,328,42
2012,ED,IES,5,35,38,2
2012,ED,IES-NAGB,0,0,0,0
2012,ED,M,65,118,138,45
2012,ED,OCFO,3,8,9,2
2012,ED,OCFO-CAM,23,64,80,7
2012,ED,OCIO,1,3,3,1
2012,ED,OCO,2,5,6,1
2012,ED,OCR,8,100,101,7
2012,ED,OCR-1 Boston,30,147,153,24
2012,ED,OCR-2 New York,38,165,162,41
2012,ED,OCR-3 Philadelphia,8,75,82,1
2012,ED,OCR-4 Atlanta,6,77,66,17
2012,ED,OCR-5 Chicago,9,131,135,5
2012,ED,OCR-6 Dallas,7,82,81,8
2012,ED,OCR-7 Kansas City,5,28,24,9
2012,ED,OCR-8 Denver,5,49,52,2
2012,ED,OCR-9 San Francisco,2,76,75,3
2012,ED,OCR-10 Seattle,1,113,109,5
2012,ED,OCR-12 Cleveland,0,41,37,4
2012,ED,OCR-Metro D.C.,15,74,74,15
2012,ED,ODS,3,5,8,0
2012,ED,OELA,3,3,6,0
2012,ED,OESE,10,78,79,9
2012,ED,OGC,6,7,12,1
2012,ED,OIG,8,62,63,7
2012,ED,OII,8,36,43,1
2012,ED,OLCA,5,3,7,1
2012,ED,OM,10,48,50,8
2012,ED,OM-PIRMS,56,43,59,40
2012,ED,OPE,21,158,157,22
2012,ED,OPEPD,4,4,4,4
2012,ED,OS,36,27,40,23
2012,ED,OSDFS,4,4,8,0
2012,ED,OSERS,16,29,43,2
2012,ED,OUS,1,8,9,0
2012,ED,OVAE,0,5,5,0
2012,EEOC,ATLANTA,60,899,859,100
2012,EEOC,BIRMINGHAM,155,1321,1358,118
2012,EEOC,CHARLOTTE,105,1275,1270,110
2012,EEOC,CHICAGO,44,1012,1008,48
2012,EEOC,DALLAS,138,1845,1823,160
2012,EEOC,HOUSTON,89,1018,1056,51
2012,EEOC,INDIANAPOLIS,111,2309,2278,142
2012,EEOC,LOS ANGELES,35,932,948,19
2012,EEOC,MEMPHIS,106,844,905,45
2012,EEOC,MIAMI,102,2015,2039,78
2012,EEOC,NEW YORK,239,808,925,122
2012,EEOC,OLC/HDQ,24,499,442,81
2012,EEOC,PHILADELPHIA,95,1025,1003,117
2012,EEOC,PHOENIX,53,608,637,24
2012,EEOC,SAN FRANCISCO,42,773,705,110
2012,EEOC,ST. LOUIS,47,1320,1236,131
2012,EEOC,WFO,30,223,236,17
2012,EPA,HQ,659,2059,2002,716
2012,EPA,Region 1,29,271,263,37
2012,EPA,Region 2,262,1551,1200,613
2012,EPA,Region 3,104,1130,1129,105
2012,EPA,Region 4,84,822,824,82
2012,EPA,Region 5,112,1394,1392,114
2012,EPA,Region 6,114,584,609,89
2012,EPA,Region 7,38,572,578,32
2012,EPA,Region 8,31,341,339,33
2012,EPA,Region 9,28,534,526,36
2012,EPA,Region 10,62,431,397,96
2012,Ex-Im Bank,HQ,29,62,47,44
2012,FCA,FCA,2,34,35,1
2012,FCC,FCC,44,501,478,67
2012,FCSIC,FCSIC,1,7,8,0
2012,FDIC,FDIC,48,931,943,36
2012,FEC,FEC,14,60,66,8
2012,FERC,FERC,5,74,65,14
2012,FFIEC,FFIEC,0,22,22,0
2012,FHFA,FHFA FOIA,18,147,154,11
2012,FHFA,FHFA-OIG,0,27,27,0
2012,FLRA,FSIP,0,8,8,0
2012,FLRA,Authority,1,32,32,1
2012,FLRA,IG,0,3,3,0
2012,FLRA,OGC,0,1,1,0
2012,FLRA,ATRO,0,4,4,0
2012,FLRA,BORO,0,4,4,0
2012,FLRA,CHRO,0,3,3,0
2012,FLRA,DARO,0,3,3,0
2012,FLRA,DERO,0,0,0,0
2012,FLRA,SFRO,0,2,2,0
2012,FLRA,WARO,0,4,4,0
2012,FMC,FMC,36,30,50,16
2012,FMCS,FMCS,0,71,69,2
2012,FMSHRC,FMSHRC,4,188,189,3
2012,FOMC,FOMC,1,22,15,8
2012,FRB,FRB,45,899,891,53
2012,FRTIB,FRTIB,0,16,12,4
2012,FTC,FTC,30,1415,1438,7
2012,GSA,GSA,109,1690,1773,26
2012,HHS,ACF,182,285,225,242
2012,HHS,CMS,4021,53424,53744,3701
2012,HHS,OIG,10,664,656,18
2012,HHS,AHRQ,6,57,57,6
2012,HHS,CDC,363,1123,899,587
2012,HHS,FDA,3469,9598,10492,2575
2012,HHS,HRSA,33,277,219,91
2012,HHS,IHS,31,107,132,6
2012,HHS,NIH,79,1147,1130,96
2012,HHS,SAMHSA,27,173,123,77
2012,HHS,OS,364,1129,1099,394
2012,HHS,OASH,205,465,462,208
2012,HHS,ACL,0,18,18,0
2012,HUD,HQ,107,1058,978,187
2012,HUD,OIG,14,115,116,13
2012,HUD,R01,1,102,98,5
2012,HUD,R02,1,125,117,9
2012,HUD,R03,1,140,135,6
2012,HUD,R04,0,412,400,12
2012,HUD,R05,0,127,109,18
2012,HUD,R06,0,147,141,6
2012,HUD,R07,2,44,44,2
2012,HUD,R08,0,110,108,2
2012,HUD,R09,2,218,208,12
2012,HUD,R0X,0,96,90,6
2012,IAF,IAF,1,9,10,0
2012,IMLS,IMLS,7,29,35,1
2012,LSC,OLA,0,30,30,0
2012,LSC,OIG,0,9,9,0
2012,MCC,MCC,0,29,29,0
2012,MSPB,MSPB,12,225,237,0
2012,NARA,NARA,8011,13345,13746,7610
2012,NASA,ARC,10,45,48,7
2012,NASA,DFRC,5,16,20,1
2012,NASA,GRC,4,38,38,4
2012,NASA,GSFC,14,118,125,7
2012,NASA,HQ,23,210,215,18
2012,NASA,JPL,0,53,53,0
2012,NASA,JSC,8,148,142,14
2012,NASA,KSC,4,60,57,7
2012,NASA,LaRC,1,42,40,3
2012,NASA,MSFC,1,93,93,1
2012,NASA,NSSC,1,15,15,1
2012,NASA,OGC,0,0,0,0
2012,NASA,OIG,2,41,42,1
2012,NASA,SSC,0,7,7,0
2012,NCPC,NCPC,0,13,13,0
2012,NCUA,NCUA,15,130,136,9
2012,NEA,NEA,10,130,126,14
2012,NEH,NEH,3,34,37,0
2012,NIGC,NIGC,15,56,42,29
2012,NLRB,NLRB,95,6305,6276,124
2012,NMB,NMB,5,25,29,1
2012,NRPC,NRPC,55,197,219,33
2012,NSF,OGC,58,367,355,70
2012,NSF,OIG,0,61,60,1
2012,NTSB,NTSB,80,294,185,189
2012,ODNI,ODNI,115,343,317,141
2012,OGE,OGE,3,48,50,1
2012,OMB,OMB,36,191,207,20
2012,ONDCP,ONDCP,0,37,34,3
2012,ONHIR,ONHIR,0,117,117,0
2012,OPIC,OPIC,0,43,40,3
2012,OPM,OPM,1447,9519,10610,356
2012,OSC,OSC,50,135,76,109
2012,OSHRC,OSHRC,1,84,85,0
2012,OSTP,OSTP,4,84,85,3
2012,PBGC,PBGC,307,5314,5475,146
2012,PC,FOIA Office,22,151,158,15
2012,PC,OIG,1,15,14,2
2012,PRC,PRC,0,23,23,0
2012,RATB,RATB,0,17,16,1
2012,SBA,SBA,21,3870,3848,43
2012,SEC,SEC,392,11292,11302,382
2012,SIGAR,SIGAR,2,10,11,1
2012,SIGIR,SIGIR,0,9,9,0
2012,SSA,SSA,845,31329,31584,590
2012,SSS,SSS,0,20,20,0
2012,State,DoS,8608,18478,15304,11782
2012,State,OIG,3,43,39,7
2012,STB,STB,0,30,30,0
2012,Treasury,BEP,7,57,57,7
2012,Treasury,BPD,2,117,117,2
2012,Treasury,CFPB,8,184,176,16
2012,Treasury,DO,231,1221,1297,155
2012,Treasury,FinCEN,2,252,254,0
2012,Treasury,FMS,24,281,259,46
2012,Treasury,IRS,822,12137,12198,761
2012,Treasury,MINT,6,128,127,7
2012,Treasury,OCC,67,1933,1924,76
2012,Treasury,TIGTA,15,227,226,16
2012,Treasury,TTB,0,73,70,3
2012,TVA,TVA,15,188,178,25
2012,U.S. CPSC,U.S. CPSC,353,2357,2452,258
2012,U.S. DOL,ADJ BDS,1,18,17,2
2012,U.S. DOL,ALJ,7,183,188,2
2012,U.S. DOL,ASP,40,17,53,4
2012,U.S. DOL,BLS,6,43,44,5
2012,U.S. DOL,CFO,31,19,49,1
2012,U.S. DOL,EBSA,101,476,550,27
2012,U.S. DOL,ETA,186,2497,2530,153
2012,U.S. DOL,EXEC SEC,64,22,81,5
2012,U.S. DOL,ILAB,2,23,24,1
2012,U.S. DOL,MSHA,229,2010,2109,130
2012,U.S. DOL,OASAM,28,237,238,27
2012,U.S. DOL,OCIA,16,29,39,6
2012,U.S. DOL,ODEP,59,13,71,1
2012,U.S. DOL,OFCCP,46,349,361,34
2012,U.S. DOL,OIG,14,66,69,11
2012,U.S. DOL,OLMS,3,81,79,5
2012,U.S. DOL,OPA,18,32,28,22
2012,U.S. DOL,OSEC,4,15,19,0
2012,U.S. DOL,OSHA,677,8684,8952,409
2012,U.S. DOL,OWCP,78,371,410,39
2012,U.S. DOL,SOL,46,102,125,23
2012,U.S. DOL,VETS,92,512,479,125
2012,U.S. DOL,WB,1,12,8,5
2012,U.S. DOL,WHD,390,2749,2701,438
2012,US ADF,US ADF,0,4,4,0
2012,US RRB,OIG,0,3,3,0
2012,US RRB,RRB,1,89,90,0
2012,USAID,USAID,248,267,295,220
2012,USCCR,USCCR,1,20,21,0
2012,USDA,AMS,16,147,133,30
2012,USDA,APHIS,168,943,899,212
2012,USDA,ASCR,2,27,27,2
2012,USDA,DM,5,71,41,35
2012,USDA,FAS,1,41,40,2
2012,USDA,FNCS,35,241,255,21
2012,USDA,FS,333,2309,2235,407
2012,USDA,FSA,289,16848,16656,481
2012,USDA,FSIS,218,308,426,100
2012,USDA,GIPSA,0,54,50,4
2012,USDA,NAD,0,14,14,0
2012,USDA,NRCS,6,361,313,54
2012,USDA,OBPA,0,11,11,0
2012,USDA,OCFO,1,30,29,2
2012,USDA,OGC,12,29,27,14
2012,USDA,OIG,7,128,113,22
2012,USDA,OSEC/OCIO,65,111,144,32
2012,USDA,RD,181,303,91,393
2012,USDA,REE,3,127,127,3
2012,USDA,RMA,8,72,55,25
2012,USIBWC,USIBWC,2,15,14,3
2012,USITC,USITC,3,37,39,1
2012,USNRC,USNRC,67,334,293,108
2012,USPS,PS,144,1495,1525,114
2012,USPS,OIG,18,569,563,24
2012,USPS,PIS,12,370,372,10
2012,USTDA,USTDA,1,14,14,1
2012,USTR,USTR,13,66,59,20
2012,VA,Admin,3,3,6,0
2012,VA,BVA,1,8,8,1
2012,VA,C&LA,2,31,28,5
2012,VA,CFM,27,100,70,57
2012,VA,GC,7,50,41,16
2012,VA,HRM,11,23,21,13
2012,VA,IG,0,349,329,20
2012,VA,Mgmt,2,5,2,5
2012,VA,NCA,16,231,224,23
2012,VA,OAL,8,243,211,40
2012,VA,OASHRA,3,3,3,3
2012,VA,OASP&IA,3,4,1,6
2012,VA,ODASB,0,3,1,2
2012,VA,ODASIA,0,1,0,1
2012,VA,ODI,0,1,0,1
2012,VA,OF,1,22,21,2
2012,VA,OIT,21,190,192,19
2012,VA,ORM,1,21,18,4
2012,VA,OSDBU,7,14,17,4
2012,VA,OSP,1,14,14,1
2012,VA,P&P,1,5,4,2
2012,VA,PA,2,1,0,3
2012,VA,SEC,15,39,29,25
2012,VA,VBA,625,3636,3933,328
2012,VA,VHA,1046,19426,19612,860
2013,ABMC,ABMC,1,3,3,1
2013,ACUS,ACUS,0,19,19,0
2013,AFRH,AFRH,0,18,18,0
2013,BBG,BBG,4,58,45,17
2013,CEQ,CEQ,13,64,34,43
2013,CFPB,CFPB,16,204,209,11
2013,CFTC,CFTC,46,122,148,20
2013,CIA,CIA,1144,4573,4625,1092
2013,CIGIE,CIGIE,4,37,31,10
2013,CNCS,CNCS,19,46,59,6
2013,CO,CO,4,35,36,3
2013,CPPBSD,CPPBSD,0,4,4,0
2013,CSB,CSB,18,40,57,1
