Year,Agency,Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
2008,U.S. DOL,OCIA,4,3,7,0
2008,U.S. DOL,ODEP,0,0,0,0
2008,U.S. DOL,OIG,10,46,56,0
2008,U.S. DOL,OPA,1,6,7,0
2008,U.S. DOL,OSBP,0,11,9,2
2008,U.S. DOL,OSHA,589,12646,12509,726
2008,U.S. DOL,SOL,0,9,6,3
2008,U.S. DOL,VETS,3,107,107,3
2008,U.S. DOL,WB,4,15,19,0
2008,US RRB,OIG,4,4,3,5
2008,US RRB,RRB,1,79,79,1
2008,USAID,USAID,312,278,279,311
2008,USIBWC,USIBWC,0,24,24,0
2008,USITC,USITC,1,66,67,0
2008,USNRC,USNRC,34,344,360,18
2008,VA,A&MM (049),166,151,100,217
2008,VA,Admin (03),0,0,0,0
2008,VA,BVA (01),0,20,20,0
2008,VA,OC&LA (009),0,0,0,0
2008,VA,OCFM (00CFM),2,50,43,9
2008,VA,ODM&EEO (06),0,0,0,0
2008,VA,GC (02),3,55,53,5
2008,VA,OHRM (05),0,6,5,1
2008,VA,IG (50),39,173,210,2
2008,VA,NCA (40),0,72,70,2
2008,VA,OASHRA (006),0,0,0,0
2008,VA,OASP&IA (002),0,0,0,0
2008,VA,ODASB (041),0,0,0,0
2008,VA,ODASIA (075),0,0,0,0
2008,VA,OF (047),1,15,15,1
2008,VA,OI&T (005),18,130,133,15
2008,VA,MGMT (004),0,1,1,0
2008,VA,ORM (08),0,3,3,0
2008,VA,OSDBU (00SB),0,0,0,0
2008,VA,P&P (008),0,1,1,0
2008,VA,PA (80),0,0,0,0
2008,VA,S&LE (07),0,8,8,0
2008,VA,SEC (00),0,9,9,0
2008,VA,VBA (20),2700,23076,23213,2563
2008,VA,VCS (785),0,0,0,0
2008,VA,VHA (10),2172,75563,74571,3164
2009,CEQ,CEQ,5,48,48,5
2009,CFTC,CFTC,15,199,200,14
2009,CIA,CIA,1024,2863,3112,775
2009,CNCS,CNCS (OGC),0,71,63,8
2009,CO,CO,10,31,32,9
2009,CPPBSD,CPPBSD,2,13,15,0
2009,CSB,CSB,32,44,46,30
2009,DHS,CBP,6161,14804,20484,481
2009,DHS,CRCL,5,13,7,11
2009,DHS,FEMA,704,830,641,893
2009,DHS,FLETC,14,157,135,36
2009,DHS,I&A,0,49,41,8
2009,DHS,ICE,68,6746,6736,78
2009,DHS,MGMT,4,186,180,10
2009,DHS,NPPD,19,58,63,14
2009,DHS,OGC,6,20,9,17
2009,DHS,OIG,35,163,189,9
2009,DHS,OPS,0,32,32,0
2009,DHS,PLCY,9,46,16,39
2009,DHS,PRIV,41,1045,992,94
2009,DHS,S&T,11,53,62,2
2009,DHS,TSA,404,849,983,270
2009,DHS,US-VISIT,2,26,27,1
2009,DHS,USCG,1050,5600,6265,385
2009,DHS,USCIS,75023,71429,122113,24339
2009,DHS,USSS,540,987,1032,495
2009,DNFSB,OGC,0,3,3,0
2009,DNFSB,OGM,3,10,13,0
2009,DOC,BIS,11,89,91,9
2009,DOC,Census,4,234,229,9
2009,DOC,EDA,1,37,34,4
2009,DOC,ESA,0,12,12,0
2009,DOC,ITA,0,141,114,27
2009,DOC,MBDA,0,10,10,0
2009,DOC,NIST,22,170,157,35
2009,DOC,NOAA,172,688,708,152
2009,DOC,NTIA,0,45,45,0
2009,DOC,NTIS,0,21,21,0
2009,DOC,OIG,4,48,51,1
2009,DOC,OS,20,235,245,10
2009,DOC,PTO,20,361,375,6
2009,DoD,AF,1121,7956,7868,1209
2009,DoD,AFRICOM,0,25,22,3
2009,DoD,ARMY,4783,32224,32570,4437
2009,DoD,ASBCA,0,15,15,0
2009,DoD,CENTCOM,186,171,140,217
2009,DoD,DCAA,3,90,83,10
2009,DoD,DCMA,38,255,275,18
2009,DoD,DeCA,0,126,118,8
2009,DoD,DFAS,11,256,246,21
2009,DoD,DIA,2668,688,727,2629
2009,DoD,DISA,243,324,317,250
2009,DoD,DLA,109,5866,5873,102
2009,DoD,DoDEA,6,67,67,6
2009,DoD,DoDIG,52,313,333,32
2009,DoD,DSS,0,62,61,1
2009,DoD,DTIC,5,172,161,16
2009,DoD,DTRA,18,229,221,26
2009,DoD,EUCOM,53,41,35,59
2009,DoD,JFCOM,44,36,13,67
2009,DoD,NAVY,1924,14476,14528,1872
2009,DoD,NGA,256,154,119,291
2009,DoD,NGB,0,21,18,3
2009,DoD,NORTHCOM,1,35,30,6
2009,DoD,NRO,49,269,227,91
2009,DoD,NSA,333,987,963,357
2009,DoD,OSD/JS,2293,1969,2424,1838
2009,DoD,PACOM,55,92,109,38
2009,DoD,SOCOM,227,139,186,180
2009,DoD,SOUTHCOM,97,136,152,81
2009,DoD,STRATCOM,3,44,40,7
2009,DoD,TRANSCOM,54,112,108,58
2009,DoD,TRICARE,11,84,84,11
2009,DOE,BPA,3,53,54,2
2009,DOE,CBFO,1,9,9,1
2009,DOE,CH,2,51,48,5
2009,DOE,EMCBC,9,38,40,7
2009,DOE,GFO,7,68,62,13
2009,DOE,HQ,125,702,658,169
2009,DOE,ID,2,40,41,1
2009,DOE,NETL,3,67,61,9
2009,DOE,NNSA/AL,183,309,320,172
2009,DOE,NR,3,13,16,0
2009,DOE,ORO,14,259,246,27
2009,DOE,OSTI,0,7,6,1
2009,DOE,PNSO,0,19,19,0
2009,DOE,RL,1,71,71,1
2009,DOE,SEPA,0,8,8,0
2009,DOE,SPR,1,5,6,0
2009,DOE,SROO,2,51,48,5
2009,DOE,SWPA,0,7,7,0
2009,DOE,WAPA,1,32,32,1
2009,DOI,BIA,176,975,1004,147
2009,DOI,BLM,114,922,922,114
2009,DOI,BOR,32,202,198,36
2009,DOI,FWS,134,1180,1160,154
2009,DOI,MMS,32,222,218,36
2009,DOI,NPS,115,857,859,113
2009,DOI,OIG,263,69,79,253
2009,DOI,OS,85,503,391,197
2009,DOI,OSM,5,37,35,7
2009,DOI,SOL,44,95,75,64
2009,DOI,USGS,17,146,147,16
2009,DOJ,Office of the AG,102,264,237,129
2009,DOJ,Office of the DAG,65,117,98,84
2009,DOJ,Office of the Assoc. AG,11,48,45,14
2009,DOJ,Antitrust,28,98,93,33
2009,DOJ,ATF,29,1525,1428,126
2009,DOJ,BOP,852,15723,15341,1234
2009,DOJ,Civil,29,327,300,56
2009,DOJ,Civil Rights,50,475,442,83
2009,DOJ,COPS,0,66,66,0
2009,DOJ,Criminal,328,921,1061,188
2009,DOJ,CRS,0,7,7,0
2009,DOJ,DEA,768,1518,1784,502
2009,DOJ,ENRD,18,75,76,17
2009,DOJ,EOIR,624,14497,14259,862
2009,DOJ,EOUSA,1373,4686,4609,1450
2009,DOJ,EOUST,34,62,83,13
2009,DOJ,FBI,1476,15664,15195,1945
2009,DOJ,FCSC,0,25,25,0
2009,DOJ,JMD,27,507,467,67
2009,DOJ,NDIC,7,91,87,11
2009,DOJ,NSD,63,243,158,148
2009,DOJ,ODR,0,7,7,0
2009,DOJ,OFDT,4,70,71,3
2009,DOJ,OIG,13,219,222,10
2009,DOJ,OIP,18,390,392,16
2009,DOJ,OIPL,5,21,18,8
2009,DOJ,OJP,42,381,371,52
2009,DOJ,OLA,43,127,63,107
2009,DOJ,OLC,17,79,52,44
2009,DOJ,OLP,17,89,90,16
2009,DOJ,OPR,22,109,113,18
2009,DOJ,OSG,7,153,160,0
2009,DOJ,OVW,0,44,44,0
2009,DOJ,Pardon Attorney,8,98,104,2
2009,DOJ,Public Affairs,8,47,45,10
2009,DOJ,PRAO,0,17,16,1
2009,DOJ,TAX,2,146,133,15
2009,DOJ,USMS,34,1488,1490,32
2009,DOJ,USNCB,0,204,177,27
2009,DOJ,USPC,114,763,788,89
2009,DOT,FAA,1024,6169,6294,899
2009,DOT,FHWA,48,433,431,50
2009,DOT,FMCSA,149,932,974,107
2009,DOT,FRA,127,373,351,149
2009,DOT,FTA,27,201,219,9
2009,DOT,MARAD,170,109,79,200
2009,DOT,NHTSA,22,267,276,13
2009,DOT,OIG,72,88,139,21
2009,DOT,OST,65,294,334,25
2009,DOT,PHMSA,46,100,132,14
2009,DOT,RITA,1,47,48,0
2009,DOT,SLSDC,0,5,5,0
2009,ED,FSA,57,358,347,68
2009,ED,IES,1,38,37,2
2009,ED,IES-NAGB,0,5,0,5
2009,ED,OCFO,1,10,7,4
2009,ED,OCFO-CAM,26,50,70,6
2009,ED,OCFO-FSS,6,1,6,1
2009,ED,OCIO,0,6,4,2
2009,ED,OCO,3,2,4,1
2009,ED,OCR,1,81,78,4
2009,ED,OCR-Atlanta,9,86,83,12
2009,ED,OCR-Boston,4,140,130,14
2009,ED,OCR-Chicago,2,89,86,5
2009,ED,OCR-Cleveland,0,28,28,0
2009,ED,OCR-Dallas,3,105,104,4
2009,ED,OCR-Denver,0,57,53,4
2009,ED,OCR-Kansas City,5,40,36,9
2009,ED,OCR-Metro,6,77,73,10
2009,ED,OCR-New York,30,144,151,23
2009,ED,OCR-Philadelphia,22,64,67,19
2009,ED,OCR-San Francisco,0,50,47,3
2009,ED,OCR-Seattle,0,77,74,3
2009,ED,OELA,8,7,12,3
2009,ED,OESE,13,96,85,24
2009,ED,OGC,7,19,18,8
2009,ED,OIG,2,30,26,6
2009,ED,OII,6,48,35,19
2009,ED,OLCA,1,10,6,5
2009,ED,OM,0,36,33,3
2009,ED,OM-RIMS,46,302,255,93
2009,ED,OPE,21,82,85,18
2009,ED,OPEPD,8,32,30,10
2009,ED,OS,9,15,15,9
2009,ED,OSDFS,33,58,78,13
2009,ED,OSERS,12,54,58,8
2009,ED,OUS,1,3,4,0
2009,ED,OVAE,1,7,7,1
2009,EPA,HQ,525,2115,2066,574
2009,EPA,Region 1,18,275,262,31
2009,EPA,Region 2,317,1890,1884,323
2009,EPA,Region 3,175,1252,1280,147
2009,EPA,Region 4,50,790,776,64
2009,EPA,Region 5,137,1569,1599,107
2009,EPA,Region 6,184,518,621,81
2009,EPA,Region 7,43,521,522,42
2009,EPA,Region 8,22,341,341,22
2009,EPA,Region 9,49,587,595,41
2009,EPA,Region 10,64,459,458,65
2009,Ex-Im Bank,AGENCY,9,108,88,29
2009,FCA,FCA,0,32,32,0
2009,FCC,FCC,65,651,659,57
2009,FCSIC,FCSIC,0,3,3,0
2009,FDIC,FDIC,62,2207,2045,224
2009,FEC,FEC,8,76,67,17
2009,FERC,FERC,26,113,112,27
2009,FFIEC,FFIEC,0,2,2,0
2009,FHFA,FHFA,7,118,116,9
2009,FLRA,FSIP,0,15,15,0
2009,FLRA,Authority,11,38,47,2
2009,FLRA,IG,0,3,3,0
2009,FLRA,OGC,0,2,2,0
2009,FLRA,ATRO,0,3,3,0
2009,FLRA,BORO,0,7,7,0
