Component,Simple,Simple.1,Simple.2,Simple.3,Complex,Complex.1,Complex.2,Complex.3,Expedited,Expedited.1,Expedited.2
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
3,6,1,20,10,11,1,25,0,0,0,0
318,310,73,505,25,158,35,392,0,0,0,0
240,289,13,836,64,108,6,572,0,0,0,0
443,480,60,897,837,681,119,930,0,0,0,0
17,142,1,534,21,30,11,55,10,10,10,10
219,253,6,683,53,85,1,529,0,0,0,0
227,227,80,373,248,248,248,248,0,0,0,0
36,76,4,433,28,40,6,121,0,0,0,0
34,93,1,824,76,123,3,758,0,0,0,0
75,135,3,801,55,109,3,826,0,0,0,0
389,398,64,751,0,0,0,0,0,0,0,0
119,465,119,810,87,202,9,510,0,0,0,0
266,309,6,766,122,131,15,384,0,0,0,0
145,157,4,631,63,80,3,211,0,0,0,0
618,618,618,618,0,0,0,0,0,0,0,0
90,125,2,432,95,95,95,95,0,0,0,0
40,111,1,897,21,39,1,930,12,17,1,60
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
0,0,0,0,0,0,0,0,0,0,0,0
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
18,46.88,0,1364,72,296.56,11,1329,0,0,0,0
16,17.72,0,219,37,47.91,19,184,0,0,0,0
88,99.7,1,725,52.5,92.25,32,242,64.5,64.5,37,92
21,20.11,0,96,34,40.56,12,138,0,0,0,0
14,14.34,0,79,30,32.01,7,116,20,20,20,20
17,17.12,0,107,62.5,78.8,29,244,55,55,55,55
22,32.44,0,283,72,114.96,23,823,0,0,0,0
15,20.64,0,840,77,114,32,233,0,0,0,0
11,18.05,0,883,55,144.11,30,404,0,0,0,0
21,21.93,0,110,51,50.86,26,84,0,0,0,0
16.5,23.99,0,412,59,65.81,7,157,0,0,0,0
20,43,0,1364,37,61,7,1329,46,51,20,92
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
15,16,4,30,72,118,31,574,7,45,3,125
15,16,4,30,72,118,31,574,7,45,3,125
